CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;699767;14067;1548;1283197221;44.782000;0;0.000000;1283197221;44.782000;2020-07-30
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;12380;32;0;8817610;3.150000;2610600;3.150000;11428210;3.150000;2020-07-31
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;122540;9677;953;358018408;27.779103;243124047;86.750184;601142455;38.316757;2021-04-27
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1023;73;11;488426;6.798634;2372680;32.807145;2861106;19.846212;2020-07-22
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2021-04-20
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;7092;1549;75;716103;1.450000;2166474;11.770000;2882577;4.250000;2020-07-27
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;3582;20;0;6355462;30.410372;0;0.000000;6355462;30.410372;2020-04-30
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2;0;0;0;0.000000;0;0.000000;0;0.000000;2020-12-31
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;121263;184;860;151210581;39.434028;335834170;88.147160;487044751;63.712233;2021-04-13
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;0;0;2;29188116;100.000000;0;0.000000;29188116;100.000000;2010-04-30
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-12-14
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;13;32;0;402202308;51.140000;384203962;48.860000;786406270;100.000000;2019-04-25
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;0;3;3;215495403;0.000000;0;0.000000;215495403;100.000000;2019-09-09
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;43475;1207;375;203568008;36.345864;0;0.000000;203568008;36.345864;2021-04-30
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2020-04-07
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;9150;452;993;250679709;33.160000;999701983;94.440000;1250381692;68.910000;2020-04-28
00.897.864/0001-58;2020-01-01;1;95675;SANTA CATARINA PART INVEST SA;0;2;0;200000;100.000000;0;0.000000;200000;100.000000;1995-11-13
00.924.429/0001-75;2020-01-01;5;102526;FERROVIA CENTRO-ATLANTICA S.A.;0;7;0;21;0.000017;3;15.789474;24;0.000019;2018-04-27
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;0;7;1;48786;100.000000;37680;100.000000;86466;100.000000;2020-04-17
00.974.211/0001-25;2020-01-01;11;103518;LINHA AMARELA S.A. - LAMSA;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-02-22
00.979.969/0001-56;2020-01-01;2;100081;CAIXA ADM DIV PUB ESTADUAL SA;5;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-29
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;185348;1244;333;1106042033;40.711000;0;0.000000;1106042033;40.711000;2021-05-10
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;25665;689;548;226098192;18.630000;0;0.000000;226098192;18.630000;2020-04-20
01.104.937/0001-70;2020-01-01;4;103315;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;28263;225;0;1915985;16.290000;0;0.000000;1915985;16.290000;2020-04-29
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;2;0;1;0;0.000000;0;0.000000;0;0.000000;2019-12-18
01.258.944/0001-26;2020-01-01;1;95596;RUMO MALHA SUL S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-04-30
01.319.044/0001-41;2020-01-01;1;95401;WTC AMAZONAS SUITE HOTEL S.A.;4;0;0;100;100.000000;0;0.000000;100;100.000000;2017-04-28
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;450;15;0;4309905;2.288453;1951372;1.286613;6261277;1.841552;2020-06-17
01.543.032/0001-04;2020-01-01;6;103084;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;20;1;1;102022;0.036000;0;0.000000;102022;0.036000;2021-02-03
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;30600;174;100;118208091;98.506743;0;0.000000;118208091;98.506743;2020-04-30
01.548.981/0001-79;2020-01-01;5;103780;INVESTIMENTOS BEMGE S.A.;1254;124;2;15919;2.009700;26651;1.695600;42570;1.800810;2021-04-30
01.599.101/0001-93;2020-01-01;7;99476;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;1502;15;93;75796498;59.612000;0;0.000000;75796498;59.612000;2020-12-24
01.616.929/0001-02;2020-01-01;11;103558;SANEAMENTO DE GOIAS SA;1;60;3;0;0.000000;0;0.000000;0;0.000000;2019-10-18
01.838.723/0001-27;2020-01-01;11;104527;BRF S.A.;59091;1871;34;811759800;99.912188;0;0.000000;811759800;99.912188;2020-04-27
01.851.771/0001-55;2020-01-01;3;103345;524 PARTICIPACOES S.A.;0;1;1;0;0.000000;0;0.000000;0;0.000000;2021-04-30
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;16997;218;107;18217771;43.590000;0;0.000000;18217771;43.590000;2021-04-13
01.917.818/0001-36;2020-01-01;11;103700;LIGHT ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2018-04-27
01.938.783/0001-11;2020-01-01;6;104796;CIA PARTICIPACOES ALIANCA DA BAHIA;997;29;3;2805965;43.670000;1601554;24.920000;4407519;34.290000;2020-04-28
01.957.772/0001-89;2020-01-01;1;94527;SUL 116 PARTICIPACOES S.A.;0;4;1;0;0.000000;0;0.000000;0;0.000000;2014-12-26
01.971.614/0001-83;2020-01-01;3;103430;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;1729;1290;3;81688;7.960000;159702;18.280000;241390;12.690000;2021-04-30
01.989.044/0001-59;2020-01-01;1;95341;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;3;0;0;1000;100.000000;0;0.000000;1000;100.000000;2019-04-30
02.016.440/0001-62;2020-01-01;6;104683;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-29
02.062.747/0001-08;2020-01-01;3;103348;SUDESTE S.A.;0;1;1;0;0.000009;0;0.000000;0;0.000009;2021-04-30
02.084.220/0001-76;2020-01-01;2;93819;NUMERAL 80 PARTICIPAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-03-03
02.105.040/0001-23;2020-01-01;4;97590;VIRGO II COMPANHIA DE SECURITIZACAO;0;2;0;41403;99.409349;246;0.590651;41649;100.000000;2020-04-30
02.149.205/0001-69;2020-01-01;7;102827;PORTO SEGURO S.A.;32713;107;841;93637072;28.963529;0;0.000000;93637072;28.963529;2020-03-31
02.162.616/0001-94;2020-01-01;3;103473;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;1;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-29
