CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;1808-10-12;Sociedade anônima aberta de economia mista.;BR;Brasil;;1977-07-20;N
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;1964-12-10;Autorização contida na Lei Federal nº 4.545, de 10 de dezembro de 1964, regida pela Lei das Sociedades Anônimas, pelo Estatuto e demais disposições legais.;BR;Brasil;;1993-09-24;N
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1962-06-11;Sociedade por ações de economia mista.;BR;Brasil;;1971-01-28;N
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1968-12-16;SOCIEDADE DE ECONOMIA MISTA;BR;Brasil;;1994-07-04;N
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;1994-08-23;Sociedade de Capital Aberto;BR;Brasil;;1994-10-27;N
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;1994-10-18;Sociedade Anonima;BR;Brasil;;1995-03-14;N
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;1972-11-09;Constituída sob a forma de sociedade anônima aberta de economia mista.;BR;Brasil;;1981-01-21;N
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;1994-12-20;Sociedade Anonima.;BR;Brasil;;1996-02-28;N
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;1974-09-04;Sociedade por ações;BR;Brasil;;1998-01-13;N
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;1995-01-10;Sociedade limitada.;BR;Brasil;;2019-11-29;N
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;1994-09-16;Sociedade Anônima;BR;Brasil;;2018-04-26;N
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;1995-03-09;Companhia Aberta - Categoria A - Sem Ações em Bolsa;BR;Brasil;;1995-07-26;N
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;1995-05-19;Fomos constituídos sob a forma de sociedade empresária limitada e, posteriormente, transformados em sociedade por ações em 20 de novembro de 1995.;BR;Brasil;;2011-09-19;N
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;1995-05-31;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2000-02-04;N
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;1995-07-21;Sociedade Anônima de capital privado;BR;Brasil;;1995-10-18;N
