CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Tipo_Obrigacao;Tipo_Garantia;Descricao_Outras_Garantias;Divida_Inferior_1_Ano;Divida_1a3Anos;Divida_3a5Anos;Divida_Superior_5Anos;Divida_Total;Observacao
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;15869461479.00;1862325455.00;137953285.00;0.00;17869740219.00;
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;49570961741.00;79772901788.00;10968570917.00;36206728890.00;176519163336.00;
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;7511438204.58;3949437611.79;1298838476.86;165518284.11;12925232577.34;
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;1789258995.39;2904246880.61;496994233.80;140706185.76;5331206295.56;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;2740340616.66;3728659507.73;3282232456.59;288810546.31;10040043127.29;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Financiamento;Garantia Real;;1534681484.28;2882513411.99;1507929279.09;7198992406.37;13124116581.73;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Financiamento;Quirografárias;;479627713.97;1201361818.11;646402793.72;584580633.26;2911972959.06;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;32681595.88;124885669.80;109148854.36;280355567.89;547071687.93;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;0.00;8303725000.00;2500000000.00;1711069464.00;12514794464.00;Observação: As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;121445000.00;166920000.00;0.00;0.00;288365000.00;
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;26815000.00;186996000.00;0.00;0.00;213811000.00;
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;21000.00;20051000.00;0.00;48368000.00;68440000.00;
