CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633793;Banco do Brasil Aktiengesellschaft (BB AG);;Controlada;Banco comercial.;Áustria;;Boqueirão do Piauí;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2019-12-31;0.00;919900000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633794;Banco Patagonia S.A.;08884213000135;Controlada;Banco múltiplo.;Argentina;;Praia da Pipa;80.39000000;N;;Trata-se de participação estratégica do Conglomerado Banco do Brasil na América do Sul, cuja aquisição teve por objetivo ampliar a parceria entre empresas brasileiras e argentinas, por meio da geração de negócios e diversificação de produtos e serviços.;;2019-12-31;0.00;1700000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633795;Banco Votorantim S.A.;59588111000103;Coligada;Banco múltiplo.;Brasil;SP;São Paulo;50.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2019-12-31;0.00;5575600000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633796;BB - Banco de Investimento S.A.;24933830000130;Controlada;Banco do Investimento.;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária constituída com o objetivo de complementar os serviços de banco de investimento à atividade principal do Conglomerado BB. O BB-Banco de Investimento S.A. detém participações acionárias em coligadas e controladas, avaliadas pelo método de equivalência patrimonial, dentre as quais, Ativos S.A..;;2019-12-31;0.00;468890000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633797;BB Cayman Islands Holding;05528375000142;Controlada;Holding constituída tendo por objetivo participar, direta ou indiretamente, na qualidade de acionista, sócia ou quotista, do capital de outras sociedades e empresas, bem como dedicar-se a qualquer ato ou atividade legal em virtude da qual sociedades possam ser constituídas segundo a Companies Law, desde que a sociedade não seja constituída para dedicar-se a qualquer ato ou atividade que requeira o consentimento ou aprovação de qualquer oficial, departamento, conselho, agência ou outro órgão sem que tal consentimento ou aprovação prévia seja antes obtida.;Ilhas Cayman;;Sinop;100.00000000;N;;Trata-se de participação estratégica do Conglomerado BB.;;2019-12-31;0.00;1752500000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633798;BB Elo Cartões Participações S.A.;05105802000180;Controlada;Participação em outras sociedades.;Brasil;DF;Brasília;100.00000000;N;;Trata-se de Sociedade Anônima fechada utilizada como veículo de participação em outras sociedades, notadamente de meios eletrônicos de pagamento. Atualmente possui participação direta na empresa Elo Participações S.A, na Cateno Gestão de Contas de Pagamento S.A., Cielo S.A. (operação sujeita à aprovação dos órgãos reguladores) e indiretamente na Elo Serviços S.A e na Companhia Brasileira de Soluções e Serviços (Alelo).;;2019-12-31;0.00;9774000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633799;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;Controlada;Gestão de recursos de terceiros e administração dos fundos de investimento.;Brasil;RJ;Rio de Janeiro;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2019-12-31;0.00;132000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633800;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;Controlada;Prática de operações de arrendamento mercantil de bens móveis ou imóveis, realização de operações de subarrendamento, cessão e aquisição de contratos de arrendamento mercantil, direitos creditórios e demais operações facultadas a sociedade de arrendamento mercantil.;Brasil;DF;Brasília;100.00000000;N;;Subsidiária constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;;2019-12-31;0.00;4731800000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633801;BB Seguridade Participações S.A.;17344597000194;Controlada;Participação em sociedades seguradoras, de capitalização, entidades abertas de previdência complementar e sociedades que operam planos privados de assistência à saúde, empresas que detenham participação em outras sociedades administradoras de bens, corretagem e viabilização de negócios envolvendo empresas de seguros dos ramos elementares, de vida e capitalização, planos previdenciários, seguro saúde e em sociedades que operam planos privados de assistência à saúde.;Brasil;DF;Brasília;66.25000000;S;023159;Empresa constituída com o objetivo de complementar a atividade principal do Conglomerado Banco do Brasil.;2019-12-31;2019-12-31;49952500000.00;3631900000.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631868;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;Controlada;Sociedades de Crédito, Financiamento e Investimento - financeiras;Brasil;DF;Santa Cruz;100.00000000;N;;As sociedades em que o BRB - Banco de Brasília S/A detém participação fazem parte do grupo BRB e a manutenção dessa participação é inerente às atividades da empresa. Nenhuma das sociedades ligadas possuem ações negociadas em mercados de valores mobiliários.;;2018-12-31;0.00;162314229.49
