CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;28198;2020-08-03;Desdobramento;28014650;8290000;36304650;280146500;82900000;363046500
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;27912;2021-10-14;Desdobramento;7184178;7232205;14416383;35920890;36161025;72081915
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;28150;2021-07-02;Desdobramento;1182510;0;1182510;283802400;0;283802400
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;28223;2016-04-04;Grupamento;88695913;21002999;109698912;9743971;2100229;11884270
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;27883;2016-04-29;Grupamento;313484914;0;313484914;62696983;0;62696983
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;27884;2016-06-23;Grupamento;62696983;0;62696983;20898994;0;20898994
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;27957;2018-03-12;Desdobramento;6030415;5867641;11898056;36182490;35205846;71388336
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;27958;2019-06-26;Desdobramento;50767085;50767082;101534167;304602510;304602492;609205002
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;27959;2021-04-28;Desdobramento;50767085;50767082;101534167;1150356087;1142977848;2293333935
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;25925;2017-01-01;Bonificação;29188116;0;29188116;29188116;0;29188116
