CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Especie_Acao;Classe_Acao_Preferencial;Percentual_Tag_Along;Direito_Dividendo;Direito_Voto;Conversibilidade;Descricao_Voto_Restrito;Condicao_Conversibilidade_Efeito_Capital_Social;Direito_Reembolso_Capital;Restricao_Circulacao;Caracteristicas_Reembolso_Capital;Descricao_Restricao_Circulacao;Resgatavel;Hipotese_Resgate_Formula_Calculo;Condicao_Alteracao_Direitos;Outras_Caracteristicas_Relevantes
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ordinária;;100.000000;O Banco do Brasil negocia somente ações ordinárias, que conferem aos seus titulares os direitos, vantagens e as restrições decorrentes da Lei das Sociedades por Ações, do Regulamento do Novo Mercado e do Estatuto Social.O Estatuto Social do Banco do Brasil assegura aos acionistas o recebimento semestral de dividendo mínimo e obrigatório equivalente a 25% do lucro líquido ajustado, como definido em lei. O dividendo correspondente aos semestres de cada exercício social será declarado por ato do Conselho Diretor ("CD"), aprovado pelo Conselho de Administração. É admitida no estatuto a distribuição de dividendos intermediários em períodos inferiores a um semestre e na forma da deliberação do Conselho de Administração, o CD poderá autorizar o pagamento ou crédito de juros sobre o capital próprio aos acionistas, bem como a imputação do seu valor ao dividendo mínimo obrigatório.;Pleno;N;;;S;N;Direito de Retirada:Qualquer acionista do Banco do Brasil dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se da sociedade, mediante o reembolso do valor de suas ações, com base no valor patrimonial.De acordo com a Lei das Sociedades por Ações, o direito de retirada poderá ser exercido, dentre outras, nas seguintes circunstâncias: (i) redução do dividendo mínimo obrigatório (ii) mudança do objeto social (iii) incorporação de ações envolvendo o Banco. E em situações específicas: (iv) fusão ou incorporação do Banco em outra sociedade (v) participação do Banco em grupo de sociedades (vi) cisão do Banco do Brasil.;;S;i.hipóteses de resgateDe acordo com a Lei das Sociedades por Ações, as ações do Banco do Brasil podem ser resgatadas mediante determinação de seus acionistas em assembleia geral extraordinária, representando, no mínimo, 50% das ações do Banco do Brasil. O resgate deve ser feito por sorteio, e poderá ser pago com os lucros da Companhia, as reservas de lucro ou reservas de capital.ii.fórmula de cálculo do valor de resgateNão há no estatuto social do Banco do Brasil previsão de resgate de ações. No caso de resgate, será endereçada proposta para definição do cálculo do valor.;Não existem condições para alteração dos direitos assegurados.;Não há outras características relevantes.
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;Ordinária;;100.000000;Direito ao dividendo obrigatório, em cada exercício social, equivalente a 25,0% do lucro líquido ajustado nos termos do artigo 202 da Lei nº 6.404/1976 ("Lei das Sociedades por Ações").;Pleno;N;;;S;N;No caso de liquidação do Banco, após pagar todas as suas obrigações, os acionistas receberão os pagamentos relativos ao reembolso do capital investido na proporção de suas respectivas participações no capital social, observada a prioridade das ações preferenciais.Qualquer acionista dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se do quadro acionário, mediante o reembolso do valor de suas ações, nos termos do artigo 45 da Lei das Sociedades por Ações, desde que ocorra qualquer uma das hipóteses expressamente previstas nos incisos I a VI e IX do artigo 136 na Lei das Sociedades por Ações. O direito de retirada deverá ser exercido no prazo de 30 dias, contados da publicação da ata da assembleia geral que tiver aprovado o ato que deu origem ao recesso, nos termos do artigo 137, IV da Lei das Sociedades por Ações.;;;;Nos termos da Lei das Sociedades por Ações, nem o estatuto social do Banco, nem as deliberações adotadas pelos acionistas em Assembleia Geral do Banco podem privar seus acionistas dos seguintes direitos: (i) direito a participar da distribuição dos lucros (ii) direito a participar, na proporção da sua participação no capital social, da distribuição de quaisquer ativos remanescentes na hipótese de liquidação do Banco (iii) direito de preferência na subscrição de ações, debêntures conversíveis em ações ou bônus de subscrição, exceto em determinadas circunstâncias previstas na Lei das Sociedades por Ações (iv) direito de fiscalizar, na forma prevista ne Lei das Sociedades por Ações, a gestão dos negócios sociais (v) o direito de votar nas assembleias gerais e (vi) direito a retirar-se do Banco, nos casos previstos na Lei das Sociedades por Ações.;Não aplicável
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;Preferencial;;80.000000;O direito ao recebimento de dividendo por ação preferencial, pelo menos 10% maior do que o atribuído a cada ação ordinária.;Sem Direito;N;;;S;N;No caso de liquidação do Banco, após pagar todas as suas obrigações, os acionistas receberão os pagamentos relativos ao reembolso do capital investido na proporção de suas respectivas participações no capital social, observada a prioridade das ações preferenciais.Qualquer acionista dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se do quadro acionário, mediante o reembolso do valor de suas ações, nos termos do artigo 45 da Lei das Sociedades por Ações, desde que ocorra qualquer uma das hipóteses expressamente previstas nos incisos I a VI e IX do artigo 136 na Lei das Sociedades por Ações. O direito de retirada deverá ser exercido no prazo de 30 dias, contados da publicação da ata da assembleia geral que tiver aprovado o ato que deu origem ao recesso, nos termos do artigo 137, IV da Lei das Sociedades por Ações.;;;;Nos termos da Lei das Sociedades por Ações, nem o estatuto social do Banco, nem as deliberações adotadas pelos acionistas em Assembleia Geral do Banco podem privar seus acionistas dos seguintes direitos: (i) direito a participar da distribuição dos lucros (ii) direito a participar, na proporção da sua participação no capital social, da distribuição de quaisquer ativos remanescentes na hipótese de liquidação do Banco (iii) direito de preferência na subscrição de ações, debêntures conversíveis em ações ou bônus de subscrição, exceto em determinadas circunstâncias previstas na Lei das Sociedades por Ações (iv) direito de fiscalizar, na forma prevista ne Lei das Sociedades por Ações, a gestão dos negócios sociais (v) o direito de votar nas assembleias gerais e (vi) direito a retirar-se do Banco, nos casos previstos na Lei das Sociedades por Ações.;Não aplicável
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ordinária;;80.000000;O Estatuto Social determina que a Companhia distribua obrigatoriamente aos seus acionistas dividendos correspondentes a, no mínimo, 25% do lucro líquido ajustado no exercício social anterior, observada a Política de Distribuição de Dividendos. Os dividendos são declarados em assembleia geral ordinária.;Pleno;N;;;S;N;Qualquer um dos acionistas da Companhia dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se da Companhia, mediante o reembolso do valor de suas ações, com base no valor patrimonial. De acordo com a Lei das Sociedades por Ações, o direito de retirada poderá ser exercido, dentre outras, nas seguintes circunstâncias: (i) cisão da Companhia (ii) redução do dividendo mínimo obrigatório da Companhia (iii) mudança do objeto social da Companhia (iv) fusão ou incorporação da Companhia em outra sociedade (v) participação da Companhia em um grupo de sociedades.;;S;O Estatuto Social da Eletrobras prevê que o resgate de ações de uma ou mais classes poderá ser efetuado mediante deliberação de Assembleia Geral Extraordinária, independentemente de aprovação em Assembleia Especial dos acionistas das espécies e classes atingidas. Exceto pela disposição estatutária acima mencionada, não há hipótese de resgate de ações de emissão da Eletrobras além das legalmente previstas. Conforme previsto no Estatuto Social da Eletrobras, a Assembleia Geral de acionistas que deliberar sobre eventual resgate de ações determinará, observadas as previsões a respeito do tema contidas no artigo 44 da Lei das Sociedades por Ações, os procedimentos aplicáveis ao cálculo do valor de resgate das ações de emissão da Eletrobras.;De acordo com a Lei das Sociedades por Ações, nem o estatuto social nem a assembleia-geral poderão privar o acionista dos direitos de: (i) participar dos lucros sociais (ii) participar do acervo da companhia, em caso de liquidação (iii) fiscalizar, na forma prevista nesta Lei, a gestão dos negócios sociais (iv) preferência para a subscrição de ações, partes beneficiárias conversíveis em ações, debêntures conversíveis em ações e bônus de subscrição, observado o disposto nos artigos 171 e 172 e (v) retirar-se da sociedade nos casos previstos na referida lei.;Não há.
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Preferencial;Preferencial Classe A;0.000000;As ações preferenciais classe "A", que são as subscritas até 23 de junho de 1969, e as decorrentes de bonificações a elas atribuídas terão prioridade na distribuição de dividendos, estes incidentes à razão de 8% ao ano sobre o capital próprio em relação a essa espécie e classe de ações, a serem entre elas rateados igualmente.As ações preferenciais participarão, em igualdade de condições, com as ações ordinárias na distribuição dos dividendos, após ter sido assegurado às ações ordinárias o menor dos dividendos mínimos previstos às preferenciais da classe "A" e da classe "B".;Sem Direito;N;;;S;N;De acordo com o Estatuto Social vigente, as ações preferenciais têm prioridade no reembolso do capital. Qualquer um dos acionistas da Companhia dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se da Companhia, mediante o reembolso do valor de suas ações, com base no valor patrimonial.De acordo com a Lei das Sociedades por Ações, o direito de retirada poderá ser exercido, dentre outras, nas seguintes circunstâncias: (i) cisão da Companhia (ii) redução do dividendo mínimo obrigatório da Companhia (iii) mudança do objeto social da Companhia (iv) fusão ou incorporação da Companhia em outra sociedade (v) participação da Companhia em um grupo de sociedades.;;S;O Estatuto Social da Eletrobras prevê que o resgate de ações de uma ou mais classes poderá ser efetuado mediante deliberação de Assembleia Geral Extraordinária, independentemente de aprovação em Assembleia Especial dos acionistas das espécies e classes atingidas. Exceto pela disposição estatutária acima mencionada, não há hipótese de resgate de ações de emissão da Eletrobras além das legalmente previstas. Conforme previsto no Estatuto Social da Eletrobras, a Assembleia Geral de acionistas que deliberar sobre eventual resgate de ações determinará, observadas as previsões a respeito do tema contidas no artigo 44 da Lei das Sociedades por Ações, os procedimentos aplicáveis ao cálculo do valor de resgate das ações de emissão da Eletrobras.;De acordo com a Lei das Sociedades por Ações, (i) a criação de ações preferenciais ou o aumento de classe de ações preferenciais existentes, sem guardar proporção com as demais classes de ações preferenciais, salvo se já prevista ou autorizada pelo Estatuto e (ii) a alteração nas preferências, vantagens e condições de resgate ou amortização de uma ou mais classes de ações preferenciais, ou criação de nova classe mais favorecida, devem ser aprovadas em assembleia geral extraordinária por titulares de ações ordinárias que representem, no mínimo, 50% do capital social votante, e somente será eficaz após a aprovação ou ratificação, em prazo improrrogável de um ano, por titulares de mais da metade de cada classe de ações preferenciais prejudicadas, reunidos em assembleia especial.;Não há.
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Preferencial;Preferencial Classe B;0.000000;As ações preferenciais classe "B", que são as subscritas a partir de 23 de junho de 1969, terão prioridade na distribuição de dividendos, estes incidentes à razão de 6% ao ano sobre o capital próprio em relação a essa espécie e classe de ações, dividendos esses a serem entre elas rateados igualmente.As ações preferenciais participarão, em igualdade de condições, com as ações ordinárias na distribuição dos dividendos, após ter sido assegurado às ações ordinárias o menor dos dividendos mínimos previstos às preferenciais da classe "A" e da classe "B".;Sem Direito;N;;;S;N;De acordo com o Estatuto Social vigente, as ações preferenciais têm prioridade no reembolso do capital. Qualquer um dos acionistas da Companhia dissidente de certas deliberações tomadas em assembleia geral poderá retirar-se da Companhia, mediante o reembolso do valor de suas ações, com base no valor patrimonial.De acordo com a Lei das Sociedades por Ações, o direito de retirada poderá ser exercido, dentre outras, nas seguintes circunstâncias: (i) cisão da Companhia (ii) redução do dividendo mínimo obrigatório da Companhia (iii) mudança do objeto social da Companhia (iv) fusão ou incorporação da Companhia em outra sociedade (v) participação da Companhia em um grupo de sociedades.;;S;O Estatuto Social da Eletrobras prevê que o resgate de ações de uma ou mais classes poderá ser efetuado mediante deliberação de Assembleia Geral Extraordinária, independentemente de aprovação em Assembleia Especial dos acionistas das espécies e classes atingidas. Exceto pela disposição estatutária acima mencionada, não há hipótese de resgate de ações de emissão da Eletrobras além das legalmente previstas. Conforme previsto no Estatuto Social da Eletrobras, a Assembleia Geral de acionistas que deliberar sobre eventual resgate de ações determinará, observadas as previsões a respeito do tema contidas no artigo 44 da Lei das Sociedades por Ações, os procedimentos aplicáveis ao cálculo do valor de resgate das ações de emissão da Eletrobras.;De acordo com a Lei das Sociedades por Ações, (i) a criação de ações preferenciais ou o aumento de classe de ações preferenciais existentes, sem guardar proporção com as demais classes de ações preferenciais, salvo se já prevista ou autorizada pelo Estatuto e (ii) a alteração nas preferências, vantagens e condições de resgate ou amortização de uma ou mais classes de ações preferenciais, ou criação de nova classe mais favorecida, devem ser aprovadas em assembleia geral extraordinária por titulares de ações ordinárias que representem, no mínimo, 50% do capital social votante, e somente será eficaz após a aprovação ou ratificação, em prazo improrrogável de um ano, por titulares de mais da metade de cada classe de ações preferenciais prejudicadas, reunidos em assembleia especial.;Não há.
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Preferencial;Preferencial Classe A;0.000000;Prioridade no recebimento de dividendos de 10% ao ano, proporcional ao capital social integralizado até encerramento do exercício correspondente.;Restrito;S;Estatuto Social - Artigo 11 - As ações preferenciais classe A adquirirão o exercício do direito de voto se a Companhia deixar de pagar os dividendos mínimos a que fizerem jus, durante três exercícios sociais consecutivos, direito esse que conservarão até o pagamento, tudo na forma do § 1º do art. 111 da Lei nº 6.404/1976.;Estatuto Social - Artigo 41 - Os acionistas titulares de ações preferenciais classe A poderão permutá-las por ações preferenciais classe B, em proporções a serem definidas pela Diretoria, a partir de estudos técnicos, os quais deverão ser submetidos e aprovados pelo Conselho de Administração.;S;N;Estatuto Social: Artigo 9° Inciso II - Prioridade no reembolso do capital até o valor de PL das ações, em caso de liquidação da Companhia, sem prêmio.;;;;Reforma estatutária, mudanças na Legislação.;Art. 11. As ações preferenciais classe A adquirirão o exercício do direito de voto se a Companhia deixar de pagar os dividendos mínimos a que fizerem jus, durante três exercícios sociais consecutivos, direito esse que conservarão até o pagamento, tudo na forma do § 1º do art. 111 da Lei nº 6.404/1976.
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Preferencial;Preferencial Classe B;0.000000;10% superiores aos das ações ordinárias;Sem Direito;N;;;S;N;Estatuto Social - Artigo 10 - Os titulares de ações preferenciais classe "B" gozarão de prioridade no reembolso do capital até o valor do patrimônio líquido das ações, sem prêmio, em caso de liquidação da Companhia, após o reembolso das ações preferenciais classe A, sem prejuízo do disposto no § 1º do art. 38.;;;;Reforma estatutária ou mudanças na legislação.;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;Ordinária;;100.000000;Nos termos da Lei das Sociedades por Ações, aos nossos acionistas é assegurado o direito ao recebimento de um dividendo obrigatório anual não inferior a 25% do lucro líquido do exercício, diminuído ou acrescido dos seguintes valores: (i) importância destinada à constituição de reserva legal e (ii) importância destinada à formação de reservas, conforme estabelecido na Lei das Sociedades por Ações e no Estatuto Social. O pagamento do dividendo obrigatório poderá ser limitado ao montante do lucro líquido realizado, nos termos da lei. Nos termos do nosso Estatuto Social, o saldo do lucro líquido apurado no exercício, obtido após as deduções e/ou destinações previstas no Estatuto Social e na Lei das Sociedades por Ações, montante equivalente a, no mínimo, 25% será destinado para pagamento do dividendo obrigatório a todos os acionistas.;Pleno;N;;;S;N;Qualquer acionista dissidente de determinadas deliberações tomadas em assembleia geral poderá retirar-se da nossa Companhia, mediante o reembolso do valor de suas ações, com base no valor patrimonial, conforme hipóteses e critérios previstos na Lei das S.A.;;;;Os direitos que não sejam estabelecidos por lei poderão ser alterados por deliberação da assembleia geral de acionistas, de acordo com o respectivo quórum de instalação e deliberação previsto na Lei das Sociedades por Ações.;A partir da data de publicação do anúncio de início de uma oferta pública inicial de ações de nossa emissão, nossos acionistas terão todos os direitos previstos no Regulamento do Novo Mercado.
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;Ordinária;;80.000000;Direito ao dividendo obrigatório, em cada exercício social, equivalente a 5% do lucro líquido ajustado nos termos do artigo 202 da Lei nº 6.404/1976, conforme alterada ("Lei das Sociedades por Ações").;Pleno;N;;;S;N;No caso de liquidação da Companhia, após pagar todas as suas obrigações, os acionistas receberão os pagamentos relativos ao reembolso do capital investido na proporção de suas respectivas participações no capital social. Qualquer acionista dissidente de certas deliberações tomadas em Assembleia Geral poderá retirar-se do quadro acionário, mediante o reembolso do valor de suas ações, com base no valor patrimonial, nos termos do artigo 45 da Lei das Sociedades por Ações, desde que ocorra qualquer uma das hipóteses expressamente previstas nos incisos I a VI e IX do artigo 136 na Lei das Sociedades por Ações. O direito de retirada deverá ser exercido no prazo de 30 dias, contados da publicação da ata da Assembleia Geral que tiver aprovado o ato que deu origem ao recesso, nos termos do artigo 137, inciso IV, da Lei das Sociedades por Ações.;;;;Nos termos da Lei das Sociedades por Ações, nem o estatuto social da Companhia, nem as deliberações adotadas pelos acionistas em Assembleia Geral podem privar seus acionistas dos seguintes direitos: (i) direito a participar da distribuição dos lucros (ii) direito a participar, na proporção da sua participação no capital social, da distribuição de quaisquer ativos remanescentes na hipótese de liquidação da Companhia (iii) direito de preferência na subscrição de ações, debêntures conversíveis em ações ou bônus de subscrição, exceto em determinadas circunstâncias previstas na Lei das Sociedades por Ações (iv) direito de fiscalizar, na forma prevista ne Lei das Sociedades por Ações, a gestão dos negócios sociais (v) o direito de votar nas assembleias gerais e (vi) direito a retirar-se da Companhia, nos casos previstos na Lei das Sociedades por Ações.;Não aplicável
