CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Data_Deliberacao;Data_Inicio_Recompra;Data_Fim_Recompra;Valor_Reserva_Disponivel_Recompra;Outras_Caracteristicas_Importantes
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;41951;2018-01-28;;;0.00;Não existe plano de recompra.
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;41952;2018-01-28;;;0.00;Não existe plano de recompra.
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;41563;2020-03-12;2020-03-12;2021-09-11;149492000.00;De acordo com as informações financeiras mais recentes do Banco, referentes ao período encerrado em 31 de dezembro de 2020, o Banco possui recursos disponíveis no montante de R$149.492 mil (R$79.202 mil em 31 de março de 2021) nas contas de reserva de capital, reserva de lucros (ex-reserva legal).Considerando que a quantidade de ações a serem adquiridas no âmbito do Programa de Recompra estará limitada em até 40.126.590 ações ordinárias e até 88.634.592 ações preferenciais, diretamente ou na forma de Units representativas de 1 (uma) ação ordinária e 2 (duas) ações preferenciais de emissão do Banco, sendo que a efetiva recompra do número total de ações previsto no Programa de Recompra dependerá, dentre outros aspectos, do número de ações mantidas em tesouraria pelo Banco no momento da negociação e da existência de recursos disponíveis, de modo a atender os ditames previstos nos artigos 7º e 8º da ICVM nº 567/15 e demais normas aplicáveis.
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;38977;2013-01-01;2013-01-01;2013-01-02;0.00;Não aplicável
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41936;2022-01-28;2022-01-31;2023-07-21;1003760.00;
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41937;2021-08-12;2021-08-12;2023-02-10;1003761.00;
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41954;2020-06-24;2020-06-25;2020-07-03;3880586000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de novo Programa de Recompra de Ações em complemento ao programa de recompra aprovado em 19 de fevereiro de 2020 ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.595.332 (dois milhões e quinhentas e noventa e cinco mil e trezentas e trinta e duas) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado serão adquiridas o total de até 2.595.332 (dois milhões e quinhentas e noventa e cinco mil e trezentas e trinta e duas) de ações ordinárias e terá o prazo de vigência de 25 de junho de 2020 a 03 de julho de 2020. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Ágora Corretora de Títulos e Valores Mobiliários SA, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP. A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução do Programa nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são geradoras de caixa.
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41955;2020-02-19;2020-03-02;2020-03-10;3810836000.00;Em reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de novo programa de recompra de ações ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 4.006.776 (quatro milhões, seis mil e setecentas e setenta e seis) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado serão adquiridas o total de até 4.006.776 (quatro milhões, seis mil e setecentas e setenta e seis) de ações ordinárias e terá o prazo de vigência de 02 de março de 2020 a 10 de março de 2020. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. A operação de recompra será realizada em bolsa, a preço de mercado, com a intermediação da Ágora Corretora de Títulos e Valores Mobiliários SA, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução do Programa nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41956;2019-08-21;2019-09-02;2019-09-10;2247359000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada, em complemento aos programas de recompra aprovados em 20 de fevereiro de 2019, a abertura de um novo Programa de Recompra de Ações ("Programa"), que tem como objetivo, único e exclusivo, fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores, por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 400.000 (quatrocentas mil) ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão,preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.No Programa ora aprovado será adquirido o total de até 400.000 (quatrocentas mil) ações ordinárias e este terá prazo de vigência de 02 a 10 de setembro de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados. As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem opagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41957;2019-02-20;2019-03-01;2019-03-10;3795879000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de dois novos Programas de Recompra de Ações ("Programas"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.Nos Programas ora aprovados serão adquiridas o total de até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sendo que, no primeiro Programa serão adquiridas até 1.100.000 ações (um milhão e cem mil ) com prazo de vigência entre 1º de março de 2019 e 10 de março de 2019, e no segundo Programa serão adquiridas até 1.070.000 ações (um milhão e setenta mil) com prazo de vigência entre 1º de agosto de 2019 e 10 de agosto de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores. Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
