CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Politica;Cargo_Pessoa_Vinculada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;46035;Estão sujeitas à Política de Negociação com Valores Mobiliários: o acionista controlador, os estatutários (membros do Conselho de Administração, Conselho Diretor, Diretoria Executiva, Comitês vinculados ao Conselho de Administração e Conselho Fiscal), o Auditor Geral, o Ouvidor Geral, além de todas as pessoas a eles vinculadas, conforme descrito no item 20.2.
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;45895;São pessoas vinculadas à companhia, o acionista ou o grupo de acionistas vinculado por acordo de acionistas ou sob controle comum que exerça o poder de controle, direto ou indireto, da Companhia, nos termos da Lei nº 6.404/1976, conforme alterada, os administradores, os conselheiros fiscais, quaisquer executivos, terceirizados ou colaboradores da Companhia, de suas controladas e coligadas que, em virtude de seu cargo, função ou posição tenham acesso a qualquer informação privilegiada da Companhia, os membros de quaisquer órgãos com funções técnicas ou consultivas, criados por disposição estatutária, assim como os acionistas controladores, diretos e indiretos, sociedades controladas e as pessoas que, em virtude de seu cargo, função ou posição possam ter acesso permanente ou eventual de informação privilegiada sobre a Companhia, e que tenham aderido à Política de Negociação de Valores Mobiliários ("Pessoas Vinculadas").
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;44617;(i) Acionistas controladores diretos e indiretos (ii)Administradores da Eletrobras e de suas controladas (iii) Conselheiros Fiscais da Eletrobras e de suas controladas (iv)Membros de quaisquer órgãos com funções técnicas ou consultivas da empresa, criados ou que venham a ser criados por disposição estatutária da Eletrobras e de suas controladas (v) Empregados, e assistentes da Eletrobras ou controladas que tenham acesso ou conhecimento de informações privilegiadas (vi) Ex-administradores da Eletrobras e de suas controladas durante o período em que detiverem quaisquer informações privilegiadas ou nas demais hipóteses previstas nesta Política, (vii) Quem quer que, em virtude de seu cargo, função ou posição na Eletrobras, nos acionistas controladores, nas suas sociedades controladas ou nas sociedades coligadas, tenha conhecimento sobre informação privilegiada (viii) Contatos comerciais da Eletrobras e de suas controladas, seus respectivos empregados e representantes.
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;45426;Acionistas controladores, conselheiros, diretores e gestores
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;44835;São as pessoas indicadas no artigo 13 da Instrução CVM 358, incluindo a Companhia, os acionistas controladores, diretores, membros do conselho de administração, membros do conselho fiscal e de quaisquer órgãos com funções técnicas ou consultivas, criados por disposição estatutária, ou por quem quer que, em virtude do seu cargo, função ou posição na Companhia, suas Subsidiárias, controladora ou coligadas, tiver aderido expressamente ao Termo de Adesão e tenha conhecimento de Informação Privilegiada sobre a Companhia, bem como aqueles que tenham conhecimento da Informação Privilegiada e que tenham relação comercial, profissional ou de confiança com a Companhia, tais como auditores independentes, analistas de valores mobiliários, consultores e instituições integrantes do sistema de distribuição.
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;45150;A Companhia, seus acionistas controladores, diretos ou indiretos, membros do conselho de administração, diretores, membros do conselho fiscal, membros dos comitês ou de quaisquer órgãos com funções técnicas e consultivas, criados por disposição estatutária, empregados da Companhia que, em virtude de seu cargo, função ou posição, ou circunstancialmente, tenham acesso a Informações Relevantes, quem quer que, em virtude de seu cargo, função ou posição nos Acionistas Controladores, nas sociedades controladas e nas sociedades coligadas, tenha acesso ou conhecimento de informações relevantes, prestadores de serviços e qualquer pessoa que tenha aderido expressamente à Política de Negociação de Valores Mobiliários de Emissão da Companhia ("Pessoas Vinculadas").
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;45816;Diretores, membros do Conselho de Administração, do Conselho Fiscal (caso instalado), e de quaisquer órgãos com funções técnicas ou consultivas criados por disposição estatutária, bem como seus cônjuges não separados judicialmente, companheiro ou dependente incluído na declaração anual de imposto de renda, e sociedades por elas controladas, direta ou indiretamente, nos temos do artigo 11 da Instrução da Comissão de Valores Mobiliários nº 358, de 03 de janeiro de 2002, e pela Companhia.
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;45940;A Política de Divulgação de Atos e Fatos Relevantes e Negociação de Valores Mobiliários aplica-se a toda a Telebras e especificamente ao acionista controlador, membros do Conselho de Administração, da Diretoria Executiva, do Conselho Fiscal, empregados com acesso a informação relevante e Consultores.
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;45384;Acionistas Controladores, diretores, membros do conselho de administração, Conselheiros Fiscais e membros de quaisquer outros órgãos com funções técnicas ou consultivas criados por disposição estatutária, pelas Controladas e Coligadas da Companhia, e por quem quer que, em virtude de seu cargo, função ou posição no Controlador, nas Controladas ou nas Coligadas da Companhia, tenha ou possa vir a ter acesso a Informação Relevante. As demais pessoas expressamente indicadas pelo Diretor de Relações com Investidores (DRI), a seu exclusivo critério, incluindo empregados, traders que utilizam mesa proprietária, demais colaboradores e outros acionistas da Companhia e/ou de suas Controladas ou Coligadas, que tenham ou possam vir a ter acesso a Informação Relevante.
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;45495;Indicados no artigo 13 da Instrução CVM 358,inclusive o Banco,seus acionistas controladores diretos e indiretos,Diretores,membros do Conselho de Administração,do Conselho Fiscal,e de outros órgãos com funções técnicas ou consultivas,criados por disposição estatutária,ou por quem,em virtude do cargo,função ou posição no Banco,sua controladora,controladas ou coligadas,tenham conhecimento à Informação Relevante,ou tenha conhecimento de Informação Relevante sabendo que se trata de informação ainda não divulgada ao mercado,em especial àqueles que tenham relação comercial,profissional ou e confiança com o Banco,como auditores independentes,analistas de valores mobiliários,consultores e instituições integrantes do sistema de distribuição que tenham aderido à Política de Negociação e estejam obrigados à observância das regras nela descritas,ou,ainda,qualquer pessoa que,nos termos da Instrução CVM 358,mesmo não tendo aderido à Política de Negociação,tenha conhecimento da Informação Relevante.
