CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Verbo Divino;Brasil;SP;São Paulo;Própria
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Complexo São João;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. Ansarah;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. BB DF;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. Sede III;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. Datacenter;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;ICI BB;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. Sede IV;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. CARJ;Brasil;RJ;Rio de Janeiro;Alugada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. Sedan;Brasil;RJ;Rio de Janeiro;Própria
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Ed. BB SP;Brasil;SP;São Paulo;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ed. Centro Corp. Portinari, 3º, 306 307, SEP/Norte, Q. 504, BLD, A. Norte (sede);Brasil;DF;Brasília;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Edifício Mário Bhering, situado na Rua da Quitanda, n.º 196;Brasil;RJ;Rio de Janeiro;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ed. Herm Stoltz, Avenida Pres. Vargas, 16º, 409. (centro de proc. de dados);Brasil;RJ;Rio de Janeiro;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT (incorp. pela Eletronorte) UTE Mauá desativados os bl. I, II e III;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centrais Elétricas do Norte do Brasil S.A. - UTE Aparecida;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Electron (desativada);Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Manauara;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Tambaqui;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Jaraqui;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Ponta Negra;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - RAESA - Cristiano Rocha;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Termelétrica - Candiota III;Brasil;RS;Candiota;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova A;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Acauã;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UHE Balbina;Brasil;AM;Presidente Figueiredo;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Mauá 3;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Anori;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Caapiranga;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Codajás;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - UTE Santana;Brasil;AP;Macapá;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova II;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova III;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Tucuruí;Brasil;PA;Tucuruí;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Samuel;Brasil;RO;Candeias do Jamari;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Angical 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear Eletrobras Termonuclear S.A. - Usina Nuclear - Angra 1;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 2;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 3;Brasil;RJ;Angra dos Reis;Própria
