CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;114933;Deloitte Touche Tohmatsu Auditores Independentes Ltda.;;49928567001940;003859;Nacional;2019-02-27;;;Prestação de serviços (i) de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidas pelo International Accounting Standards Board (IASB) e (ii) de outros serviços correlatos relativos ao exercício social encerrado em 31 de dezembro de 2021 e prestação deserviços de revisão de números e emissão de carta conforto no âmbito de oferta pública de valores mobiliários.;No ano de 2021 foram pagos (i) R$ 15.607.272,70 referentes ao contrato 201985580011, de prestação de serviços de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil e serviços correlatos, (ii) R$ 117.007,00 referentes aos contratos de não auditoria.;Não aplicável.;Não aplicável.
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;114940;Ernst & Young Auditores Independentes S.S;;61366936000125;004715;Nacional;2020-03-02;;;Prestação de serviços especializados de auditoria independente das demonstrações contábeis e financeiras individuais e consolidadas, das empresas do Conglomerado BRB, relativo aos exercícios de 2020 e 2021, nos termos da Resolução n° 3.198/2004, do Conselho Monetário Nacional, da Circular n° 3.192/ 2003, do Banco Central do Brasil, e das Instruções n° 308/ 1999 e nº 409/2004, da Comissão de Valores Mobiliários.;O valor pago para a Ernst & Young Auditores Independentes S.S. no exercício de 2021 foi de R$ 6.647.128,17. Esse montante corresponde apenas a serviços de auditoria prestados no período.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;114845;Price Waterhouse Coopers Auditores Independentes Ltda.;;61562112000120;002879;Nacional;2019-04-02;;;Os auditores independentes prestaram e/ou foram contratados para prestar os seguintes serviços para a Companhia nos últimos três exercícios e no exercício social corrente: (i.a) serviços regulares de auditoria independente, sobre as demonstrações financeiras individuais e consolidadas, preparadas de acordo com as práticas contábeis adotadas no Brasil, elaboradas pelo Comitê de Pronunciamentos Contábeis (CPC) e pela Comissão de Valores Mobiliários ("CVM") e com as normas internacionais, elaboradas pela International Accounting Standards Board (IASB) e pela Securities Exchange Comission (SEC), referente aos exercícios encerrados em 31 de dezembro de 2019, 2020 e 2021 (i.b) a revisão das informações financeiras trimestrais, referente aos períodos de três meses findos em 31 de março de 2019, 2020, 2021 e 2022, período de seis meses findo em 30 de junho de 2019, 2020 e 2021 e período de nove meses findo em 30 de setembro de 2019, 2020 e 2021, preparadas de acordo com o CPC 21 (R1) - Demonstração Intermediária e a IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standard Board - IASB (ii) exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOx, com a emissão de relatórios requeridos (iii) prestação de serviços no âmbito da oferta pública de ações de emissão da Companhia em ambiente nacional e internacional no decorrer do exercício social encerrado em 31 de dezembro de 2021 e período de três meses findo em 31 de março de 2022 e (iv) auditoria das demonstrações financeiras regulatórias das controladas da Eletrobras.;No exercício social encerrado em 31 de dezembro de 2021, os auditores independentes da Companhia, em contrapartida aos serviços prestados no decorrer do exercício de 2021, receberam honorários que totalizaram o valor de R$22.933 milhões (considerando os serviços prestados para as Empresas Eletrobras consolidadas em suas demonstrações financeiras), segregados da seguinte forma:Serviços descritos no item (i.a) acima: R$11.110 milhões.Serviços descritos no item (i.b) acima: R$2.787 milhõesServiços descritos no item (ii) acima: R$6.281 milhões.Serviços descritos no item (iii) acima: R$2.200 milhõesServiços descritos no item (iv) acima: R$0,53 milhão.;N/A;N/A
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;113749;RUSSELL BEDFORD BRASIL AUDITORES INDEPENDENTES S/S;;13098174000180;011592;Nacional;2019-10-25;;;Contratação de Serviços Regulares de Auditoria Independente, compreendendo a Auditoria das Demonstrações Financeiras da Companhia Energética de Brasília - CEB, (Individual e Consolidada), relativas aos exercícios sociais a findarem-se em 31 de dezembro de 2019, 2020, 2021, 2022 e 2023 e a Revisão das Informações Trimestrais (ITRs), relativas aos trimestres a findarem-se em 31 de março, 30 de junho e 30 de setembro de 2019, 2020, 2021, 2022 e 2023. Inclui, também, a revisão dos procedimentos fiscais e tributários, o exame das informações complementares requeridas pela Comissão de Valores Mobiliários - CVM, bem como a emissão de outros relatórios especiais e documentos decorrentes dos serviços prestados, conforme Projeto Básico Conjunto nº 01/2018 - CEB e CEB Distribuição S/A, Anexo IV do Edital.;O valor global deste Contrato é de R$ 336.800,00 (trezentos e trinta e seis mil e oitocentos reais)..;Artigo 28 IN CVM 308/99;Não tem
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;108369;Deloitte Touche Tohmatsu Auditores Independentes ("Deloitte");;49928567001860;003859;Nacional;2020-10-16;;;Os auditores independentes prestaram serviços relacionados: (i) à auditoria independente das demonstrações financeiras individuais e consolidadas da Caramuru Alimentos S.A. referentes ao exercício social encerrado em 31 de dezembro de 2019, 2020 e 2021, revisão das informações financeiras intermediárias referentes aos trimestres findos em 31 de março e 30 de junho de 2021 e 2022, bem como em 30 de setembro de 2021, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e com os International Financial Reporting Standards - IFRS e (ii) auditoria das demonstrações financeiras individuais da Intergrain Ltd. (empresa controlada) e (iii) honorários para realização de procedimentos pré-acordados para emissão de carta conforto, em conexão com oferta de CRA.;(i)Auditoria independente das demonstrações individuais e consolidadas de 2021: R$ 868.133(ii)Auditoria das demonstrações financeiras individuais da Intergrain Ltd : R$ 248.675(iii) Honorários emissão carta conforto CRA: R$ 850.000;Não aplicável;Não aplicável
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;105003;Taticca Auditores Independentes S/S;;20840718000101;012220;Nacional;2022-01-01;;;Auditoria das Demonstrações Financeiras e Revisão das Informações Trimestrais - ITRS.Parecer do auditor independente.;R$ 25.000,00;;
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;114317;KPMG Auditores Independentes;;57755217000129;004189;Nacional;2021-05-07;;;Os auditores independentes prestaram os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras individuais e consolidadas para os exercícios sociais findos em 31 de dezembro de 2020, 2019 e 2018 especialmente elaboradas para fins de registro da Companhia como emissor perante a Comissão de Valores Mobiliários ("CVM") (ii) revisão e emissão relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela CVM para os trimestres em 31 de março, 30 de junho e 30 de setembro, do exercício de 2021, com free translation.;Tendo em vista que a contratação dos auditores independentes pela Companhia foi realizada no exercício corrente, não foi realizado qualquer pagamento aos auditores independentes no exercício social encerrado em 31 de dezembro de 2020.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;114318;Ernst & Young Auditores Independentes S.S.;;61366936000125;004715;Nacional;2022-04-22;;;(i) auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas para o exercício a se findar em 31 de dezembro de 2022, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB), com free translation (ii) realização de revisão e emissão de relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela Comissão de Valores Mobiliários para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2022 para a AES Brasil Energia S.A. e AES Brasil Operações S.A. e (iii) auditoria e emissão de relatório sobre a aplicação de procedimentos previamente acordados sobre o Relatório de Controle Patrimonial - RCP, elaborado segundo a norma da resolução Aneel 367/2009, devendo atender ao programa de trabalho definido no anexo 1 do Manual de Orientação dos Trabalhos de Auditoria de Relatório de Controle Patrimonial - RCP;Tendo em vista que a contratação dos auditores independentes pela Companhia foi realizada no exercício corrente, não foi realizado qualquer pagamento aos auditores independentes no exercício social encerrado em 31 de dezembro de 2022.;A referida substituição conta com a anuência da KPMG e visa trazer benefícios de ordem prática relacionados à otimização de processos e controles internos no atendimento à auditoria independente.;Não aplicável
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;114802;Deloite Touche Tohmatsu Auditores Independentes;;49928567000111;004715;Nacional;2020-10-20;;;Os serviços contratados compreendem: (i) auditoria independente das demonstrações financeiras da Companhia que compreendem os balanços patrimoniais referentes aos exercícios sociais findos em 31 de dezembro de 2021, 2020 e 2019 e ao período de três meses findo em 31 de março de 2022, bem como as demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa para os exercícios findos em 31 de dezembro de 2021, 2020 e 2019 e para os períodos de três meses findos em 31 de março de 2022 e 2021, elaboradas de acordo com as práticas contábeis adotadas no Brasil, emitidas pelo Comitê de Pronunciamentos Contábeis - CPC e aprovadas pela Comissão de Valores Mobiliários - CVM ("BR GAAP") e as normas internacionais de relatório financeiro (Internacional Financial Reporting Standards - "IFRS"), emitidas pelo "Internacional Accounting Standards Board - "IASB" (ii) emissão de cartas "conforto" relacionadas à oferta pública de ações das Companhia.;Pelos serviços prestados durante o exercício social de 2021, a remuneração total do auditor independente foi de: (i) R$ 544.240 referente à auditoria independente das demonstrações financeiras da Companhia referentes ao exercício social encerrado em 31 de dezembro de 2021, 2020 e 2019 e ao trimestre encerrado em 31 de março de 2022 e 2021, preparadas de acordo com as BR GAAP e as IFRS. Adicionalmente, (ii) foi firmado contrato no valor de R$ 1.313.353, referente à emissão de cartas "conforto" relacionadas com a oferta pública de ações de emissão da Companhia.;Não aplicável.;Não aplicável.
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;114794;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-01-01;;;Revisão de Informações Trimestrais (ITRs) e Auditoria das Demonstrações Financeiras Anuais;R$ 43.967,00;;
