CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;373216;2020-12-09;Assembleia Geral Extraordinária (AGE);2022-06-14;23475.34;Subscrição particular;425;0;425;0.00000261;R$ por Unidade;52.16000000;Laudos de avaliação que serviram de base para fixação dos valores das empresas e a relação de substituição das ações envolvidas na operação.;Versão da participação dos minoritários no patrimônio líquido da BESC Distribuidora de Títulos e Valores Mobiliários (Bescval).
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;373217;2023-04-27;Assembleia Geral Extraordinária (AGE);;29999976524.66;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;373223;2020-08-03;Assembleia Geral Extraordinária;2020-12-09;400000000.00;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;373060;2019-11-14;Assembleia Geral Extraordinária;2019-11-14;7208020920.28;Subscrição particular;201792299;0;0;23.02489890;R$ por Unidade;35.72000000;O preço de emissão foi calculado com base preço de mercado das ações ordinárias e preferenciais da Companhia, de acordo com o art. 170, §1º, inciso III da Lei 6.404 de 15 de dezembro de 1976 ("Lei das Sociedades por Ações").;Dinheiro e créditos (no caso da União, créditos relativos a adiantamento para futuro aumento de capital e, no caso de acionistas, facultado àqueles que detinham créditos de dividendos declarados e não pagos o uso de tais créditos). O aumento de capital foi homologado em assembleia geral extraordinária da Companhia em 17 de fevereiro de 2020.
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;373061;2019-11-14;Assembleia Geral Extraordinária;2019-11-14;543919162.50;Subscrição particular;0;14504511;0;1.73746495;R$ por Unidade;37.50000000;Dinheiro e créditos (no caso da União, créditos relativos a adiantamento para futuro aumento de capital e, no caso de acionistas, facultado àqueles que detinham créditos de dividendos declarados e não pagos o uso de tais créditos). O aumento de capital foi homologado em assembleia geral extraordinária da Companhia em 17 de fevereiro de 2020.;O preço de emissão foi calculado com base preço de mercado das ações ordinárias e preferenciais da Companhia, de acordo com o art. 170, §1º, inciso III da Lei das Sociedades por Ações.
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;373062;2022-06-09;Conselho de Administração;2022-06-09;26362364280.00;Subscrição pública;627675340;0;0;67.49668688;R$ por Unidade;42.00000000;O preço da emissão foi determinado por meio do procedimento de bookbuilding realizado no âmbito da oferta pública de ações da Companhia.;Subscrição e integralização das ações ordinárias objeto da oferta pública de ações, em moeda corrente nacional (dinheiro).
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;373063;2022-07-04;Conselho de Administração;2022-07-04;4394104176.00;Subscrição pública;104621528;0;104621528;42.00000000;R$ por Unidade;6.71679706;O preço da emissão foi determinado por meio do procedimento de bookbuilding realizado no âmbito da oferta pública de ações da Companhia.;Subscrição e integralização das ações ordinárias objeto da oferta pública de ações, em moeda corrente nacional (dinheiro).
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;373064;2023-01-05;Assembleia Geral Extraordinaria;2023-03-08;286085617.81;Subscrição particular;5872034;0;5872034;12.43186879;R$ por Unidade;48.51790000;O preço de emissão corresponde ao valor patrimonial contábil por ação da Companhia, com base no patrimônio líquido constante das Demonstrações Financeiras da Companhia datadas de 31 de dezembro de 2021, aprovadas na Assembleia Geral Ordinária da Companhia realizada em 22 de abril de 2022.;Incorporação da totalidade das ações de emissão das subsidiárias (i) Companhia Hidro Elétrica do São Francisco ("CHESF") (ii) Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil ("CGT Eletrosul") (iii) Furnas - Centrais Elétricas S.A. ("Furnas") e (iv) Centrais Elétricas do Norte do Brasil S.A. ("Eletronorte").
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;369764;2014-11-27;82a. AGE;2014-12-08;223969190.00;Subscrição particular;2607746;2625179;5232925;56.98208000;R$ por Unidade;42.80000000;Média entre valor ecônomico da ação e valor patrimonial.;Créditos de capitais - AFAC - do Governo do Distrito Federal e da Cia Imobiliária de Brasília - TERRACAP
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;351766;2018-04-12;AGOE;2018-04-12;31206375.03;Subscrição particular;24444000;0;24444000;0.00000000;R$ por Unidade;0.00000000;;Capitalização da reserva de incentivos fiscais, sem emissão de novas ações.
