CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;369764;Preferencial Classe B;2625179
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372683;Preferencial Classe A;0
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;373647;Preferencial Classe A;0
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;373648;Preferencial Classe A;8074780
02.643.896/0001-52;2022-01-01;3;118472;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;349743;Preferencial Classe A;10
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371114;Preferencial Classe B;32667
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371115;Preferencial Classe B;69167
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371116;Preferencial Classe B;133333
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371117;Preferencial Classe B;33333
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371119;Preferencial Classe B;66667
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371120;Preferencial Classe B;333333
04.030.182/0001-02;2022-01-01;4;125905;CABINDA PARTICIPACOES S.A.;371121;Preferencial Classe B;180000
04.031.213/0001-31;2022-01-01;4;125906;CACONDE PARTICIPACOES S.A.;370881;Preferencial Classe B;60000
04.031.213/0001-31;2022-01-01;4;125906;CACONDE PARTICIPACOES S.A.;370882;Preferencial Classe B;33333
04.031.213/0001-31;2022-01-01;4;125906;CACONDE PARTICIPACOES S.A.;370884;Preferencial Classe B;66667
04.031.213/0001-31;2022-01-01;4;125906;CACONDE PARTICIPACOES S.A.;370886;Preferencial Classe B;180000
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370887;Preferencial Classe B;63333
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370888;Preferencial Classe B;37333
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370889;Preferencial Classe B;73833
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370890;Preferencial Classe B;66667
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370892;Preferencial Classe B;66667
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370893;Preferencial Classe B;66667
04.038.763/0001-82;2022-01-01;4;125908;CAIANDA PARTICIPACOES S.A.;370894;Preferencial Classe B;333333
08.574.411/0001-00;2022-01-01;2;125800;PRÁTICA PRODUTOS S.A.;370601;Preferencial Classe A;373242
08.574.411/0001-00;2022-01-01;2;125800;PRÁTICA PRODUTOS S.A.;370601;Preferencial Classe B;414253
09.305.994/0001-29;2022-01-01;17;127023;AZUL S.A.;373039;Preferencial Classe A;33000
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;348510;Preferencial Classe D;149222798
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;348511;Preferencial Classe A;82800000
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;348511;Preferencial Classe B;165600000
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370960;Preferencial Classe A;1641258
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370960;Preferencial Classe B;4999008
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370961;Preferencial Classe A;3101901
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370961;Preferencial Classe B;9563348
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370962;Preferencial Classe A;2919354
15.139.629/0001-94;2022-01-01;7;125926;CIA ELETRICIDADE EST. DA BAHIA - COELBA;370962;Preferencial Classe B;9000787
21.262.638/0001-70;2022-01-01;1;116176;ENCALSO PARTICIPAÇÕES EM CONCESSÕES S/A;343553;Preferencial Classe A;3000
21.389.501/0001-81;2022-01-01;11;126922;COMPASS GÁS E ENERGIA S.A.;372520;Preferencial Classe A;30853032
21.389.501/0001-81;2022-01-01;11;126922;COMPASS GÁS E ENERGIA S.A.;372521;Preferencial Classe B;30853031
21.389.501/0001-81;2022-01-01;11;126922;COMPASS GÁS E ENERGIA S.A.;372522;Preferencial Classe B;23996342
24.962.466/0001-36;2022-01-01;5;126333;RUMO MALHA NORTE S.A.;372118;Preferencial Classe B;5129741
24.962.466/0001-36;2022-01-01;5;126333;RUMO MALHA NORTE S.A.;372118;Preferencial Classe A;69380885
24.962.466/0001-36;2022-01-01;5;126333;RUMO MALHA NORTE S.A.;372120;Preferencial Classe A;7203667
29.950.060/0001-57;2022-01-01;3;127038;NORTEC QUÍMICA S.A.;373091;Preferencial Classe B;142485
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369798;Preferencial Classe A;210792
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369798;Preferencial Classe B;4852857
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369799;Preferencial Classe A;401722
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369799;Preferencial Classe B;9088059
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369800;Preferencial Classe A;205537
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;369800;Preferencial Classe B;5936952
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372620;Preferencial Classe A;334972
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372621;Preferencial Classe A;50420
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372622;Preferencial Classe A;305
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372622;Preferencial Classe B;81758
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372623;Preferencial Classe A;490196
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372624;Preferencial Classe A;98823
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372626;Preferencial Classe A;353469
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372627;Preferencial Classe B;96434
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372629;Preferencial Classe A;20246290
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372630;Preferencial Classe A;166659
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372632;Preferencial Classe A;5128125
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372632;Preferencial Classe C;1956685
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;372633;Preferencial Classe B;109158
59.981.829/0001-65;2022-01-01;4;125843;RODOBENS SA;370743;Preferencial Classe A;123434508
60.651.809/0001-05;2022-01-01;5;126959;SUZANO HOLDING S.A.;372563;Preferencial Classe A;50
