CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes_Antes_Aprovacao;Quantidade_Acoes_Depois_Aprovacao
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;31393;Preferencial Classe A;1313002;6565010
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;31393;Preferencial Classe B;5919203;29596015
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;31686;Preferencial Classe A;21002999;2100229
07.253.321/0001-47;2022-01-01;1;116818;CARBOMIL SA MINER. E INDUSTRIA;28538;Preferencial Classe A;1;66
14.807.945/0001-24;2022-01-01;4;126899;SANSUY S.A. INDUSTRIA DE PLASTICOS;31595;Preferencial Classe A;126307;5052280
14.807.945/0001-24;2022-01-01;4;126899;SANSUY S.A. INDUSTRIA DE PLASTICOS;31595;Preferencial Classe B;155;6200
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29666;Preferencial Classe A;273031855;30336873
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29666;Preferencial Classe B;546063710;60673476
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29666;Preferencial Classe C;1;1
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29667;Preferencial Classe A;28146673;938222
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29667;Preferencial Classe B;56293346;1876444
15.073.274/0001-88;2022-01-01;3;118190;PPLA PARTICIPATIONS LTD.;29667;Preferencial Classe C;1;1
33.200.049/0001-47;2022-01-01;2;127071;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;31643;Preferencial Classe A;78944947;7894494
33.228.024/0001-51;2022-01-01;3;125831;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;31453;Preferencial Classe A;3968690;19843450
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31397;Preferencial Classe A;2318710;2529502
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31397;Preferencial Classe B;53381427;58234284
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31398;Preferencial Classe A;2410333;2812055
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31398;Preferencial Classe B;54528353;63616412
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31399;Preferencial Classe A;2055375;2260912
33.958.695/0001-78;2022-01-01;17;125570;UNIPAR CARBOCLORO S.A.;31399;Preferencial Classe B;59369527;65306479
60.637.238/0001-54;2022-01-01;8;120779;BLUE TECH SOLUTIONS EQI S.A.;30188;Preferencial Classe A;2713023;90435
60.637.238/0001-54;2022-01-01;8;120779;BLUE TECH SOLUTIONS EQI S.A.;30189;Preferencial Classe A;3346095;13384380
60.637.238/0001-54;2022-01-01;8;120779;BLUE TECH SOLUTIONS EQI S.A.;30190;Preferencial Classe A;13384380;3346095
61.082.004/0001-50;2022-01-01;3;126663;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;31585;Preferencial Classe A;10777990;538900
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;31563;Preferencial Classe A;24539400;24539400
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;31564;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;31565;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;31566;Preferencial Classe A;25464982;2546498
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;31567;Preferencial Classe A;2768851;27688510
76.483.817/0001-20;2022-01-01;6;125885;CIA PARANAENSE DE ENERGIA - COPEL;31465;Preferencial Classe A;326752;3267520
76.483.817/0001-20;2022-01-01;6;125885;CIA PARANAENSE DE ENERGIA - COPEL;31465;Preferencial Classe B;128297543;1282975430
76.535.764/0001-43;2022-01-01;9;124658;OI S.A. - EM RECUPERAÇÃO JUDICIAL;31188;Preferencial Classe A;157727241;15772724
82.643.537/0001-34;2022-01-01;9;123226;ELECTRO ACO ALTONA S.A.;30863;Preferencial Classe A;1275000;12750000
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;31200;Preferencial Classe U;51170504;102341008
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;31201;Preferencial Classe U;102341008;204682016
