CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Titulo_Conversivel_Acao;Condicoes_Conversao
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;264544;NÃO HÁ;Não aplicável
03.758.318/0001-24;2022-01-01;10;127092;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;292754;DEBÊNTURES - 3ª EMISSÃO;As condições para conversão estão informadas no item 18.5 deste Formulário de Referência.
03.758.318/0001-24;2022-01-01;10;127092;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;292754;DEBÊNTURES - 5º EMISSÃO;As condições para conversão estão informadas no item 18.5 deste Formulário de Referência.
04.370.282/0001-70;2022-01-01;5;125901;COPEL GERAÇÃO E TRANSMISSÃO S.A.;290573;NÃO HÁ CONVERSÕES EM AÇÕES;Não há conversões em ações
07.047.251/0001-70;2022-01-01;15;125797;CIA ENERGETICA DO CEARA - COELCE;290179;AÇÕES PREFERENCIAIS CLASSE B;Nos termos do artigo 5º, parágrafo segundo, do estatuto social da Companhia, as ações preferenciais Classe B poderão ser convertidas em ações preferenciais Classe A, a requerimento do interessado.
07.047.251/0001-70;2022-01-01;15;125797;CIA ENERGETICA DO CEARA - COELCE;290182;AÇÕES PREFERENCIAIS CLASSE B;Nos termos do artigo 5º, parágrafo segundo, do estatuto social da Companhia, as ações preferenciais Classe B poderão ser convertidas em ações preferenciais Classe A, a requerimento do interessado.
07.047.251/0001-70;2022-01-01;15;125797;CIA ENERGETICA DO CEARA - COELCE;290185;AÇÕES PREFERENCIAIS CLASSE B;Nos termos do artigo 5º, parágrafo segundo, do estatuto social da Companhia, as ações preferenciais Classe B poderão ser convertidas em ações preferenciais Classe A, a requerimento do interessado.
09.095.183/0001-40;2022-01-01;3;126164;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;291467;NÃO SE APLICA.;Não se aplica.
13.017.462/0001-63;2022-01-01;1;116533;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;265721;NÃO SE APLICA.;Não se aplica.
26.982.634/0001-80;2022-01-01;2;126877;TURBI COMPARTILHAMENTO DE VEÍCULOS S.A.;291947;TÍTULOS CONVERSÍVEIS;Condições para conversão conforme item 17.5.Data da autorização ou aprovação: 24/06/2022Valor do Capital (R$): 25.000.000,00Prazo para integralização: 12/07/2026Condições para conversão: Condições para conversão conforme item 17.5
33.541.368/0001-16;2022-01-01;4;126138;AXIA ENERGIA NORDESTE S.A.;291409;NÃO SE APLICA.;Não se aplica.
50.564.053/0001-03;2022-01-01;6;126403;BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL;291747;NÃO HÁ;Não há.
60.398.369/0004-79;2022-01-01;15;125627;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;289867;CONVERSÃO DE DEBÊNTURES;Total de Debêntures conversíveis: 360.003.818. Em 02 de setembro de 2019, ocorreu a conversão de 46.185.616 debentures, ao Preço de Conversão de R$ 1,733333 (conforme definido na Escritura) e resultou na emissão de 1.567.383 ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia. Total de Debêntures pendentes de conversão (após a conversão de 02 de setembro de 2019) 25.786.827. A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2022-01-01;15;125627;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;289869;CONVERSÃO DE DEBÊNTURES;Total de Debêntures conversíveis: 360.003.818. Em 16 de agosto de 2019, ocorreu a conversão de 14.310.903 debentures, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 485.664 ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia. A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2022-01-01;15;125627;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;289871;DEBÊNTURES CONVERSÍVEIS;Total de Debêntures conversíveis - 360.003.818. A Conversão ocorreu em 24 de junho de 2019, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 623.144(seiscentos e vinte e três mil e cento e quarenta e quatro) ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia.  A conversão das Debêntures poderão ocorrer qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2022-01-01;15;125627;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;289873;DEBÊNTURES CONVERSÍVEIS;Total de Debêntures conversíveis: 360.003.818. Em 06 de março de 2018, ocorreu a conversão de 5.956.455, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 3.436.417 (três milhões, quatrocentas e trinta e seis mil e quatrocentas e dezessete) ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia. A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
