CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Passivo;Indice_Endividamento;Tipo_Indice;Descricao_Outro_Indice
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;1753230277964.58;12.00000000;Índice de Endividamento;
00.000.208/0001-00;2022-01-01;19;127097;2021-01-01;2021-12-31;29094808000.00;11.18000000;Índice de Endividamento;
00.001.180/0001-26;2022-01-01;28;127025;2021-01-01;2021-12-31;111886305000.00;1.46415916;Índice de Endividamento;
00.001.180/0001-26;2022-01-01;28;127025;2022-01-01;2022-12-31;109931397000.00;1.38941359;Índice de Endividamento;
00.070.698/0001-11;2022-01-01;5;125544;2021-01-01;2021-12-31;456165000.00;0.30122109;Índice de Endividamento;
00.080.671/0001-00;2022-01-01;3;120092;2021-01-01;2021-12-31;5035460129.24;3.24429985;Índice de Endividamento;
00.192.769/0001-59;2022-01-01;1;116220;2021-01-01;2021-12-31;87880742.10;3.91796700;Índice de Endividamento;
00.194.724/0001-13;2022-01-01;3;126044;2021-01-01;2021-12-31;7155084000.00;1.55087963;Índice de Endividamento;
00.242.184/0001-04;2022-01-01;7;126992;2021-01-01;2021-12-31;1977748000.00;1.59243160;Índice de Endividamento;
00.336.701/0001-04;2022-01-01;13;127244;2021-01-01;2021-12-31;2668296000.00;1.86490000;Índice de Endividamento;
00.383.281/0001-09;2022-01-01;13;125986;2021-01-01;2021-12-31;11680192000.00;0.11293494;Índice de Endividamento;
00.389.481/0001-79;2022-01-01;2;118400;2021-01-01;2021-12-31;1707222147.76;6.32508307;Índice de Endividamento;
00.416.968/0001-01;2022-01-01;11;122285;2021-01-01;2021-12-31;28176690000.00;3.32960076;Índice de Endividamento;
00.545.378/0001-70;2022-01-01;6;135072;2021-01-01;2021-12-31;21980793.46;0.30394623;Índice de Endividamento;
00.622.416/0001-41;2022-01-01;10;123211;2021-01-01;2021-12-31;0.00;2.20000000;Outros índices;Endividamento líquido em 31 de dezembro de 2021, dividido pelo EBITDA do ano de 2021. Acreditamos que o índice de endividamento financeiro líquido sobre EBIDTA seja apropriado para a correta compreensão da situação financeira da Companhia, uma vez que proporciona uma medida dinâmica da alavancagem financeira da Companhia e de sua capacidade de pagar a dívida através de sua geração operacional de caixa. Adicionalmente, tal índice é utilizado como medida em obrigações (covenants) em contratos de financiamento.
00.644.907/0001-93;2022-01-01;5;125817;2021-01-01;2021-12-31;245624000.00;2691247.83466659;Índice de Endividamento;
00.743.065/0001-27;2022-01-01;1;115698;2021-01-01;2021-12-31;9725113.68;0.31000000;Índice de Endividamento;
00.776.574/0001-56;2022-01-01;16;127140;2021-01-01;2021-12-31;28607835193.11;1.79799370;Índice de Endividamento;
00.776.574/0001-56;2022-01-01;16;127140;2021-01-01;2021-12-31;0.00;0.78856701;Outros índices;Dívida Líquida/ EBITDA Ajustado
00.864.214/0001-06;2022-01-01;20;127076;2021-01-01;2021-12-31;45237163000.00;4.74619863;Índice de Endividamento;
00.897.864/0001-58;2022-01-01;1;113493;2021-01-01;2021-12-31;7979254956.05;401681.16323439;Índice de Endividamento;
00.924.429/0001-75;2022-01-01;7;123538;2021-01-01;2021-12-31;3991187.00;88.21000000;Índice de Endividamento;
00.938.574/0001-05;2022-01-01;7;126918;2021-01-01;2021-12-31;41105463.08;0.28000000;Índice de Endividamento;
00.974.211/0001-25;2022-01-01;1;116172;2021-01-01;2021-12-31;291971000.00;2.06000000;Índice de Endividamento;
00.979.969/0001-56;2022-01-01;1;114163;2021-01-01;2021-12-31;355760.25;0.00160847;Índice de Endividamento;
01.027.058/0001-91;2022-01-01;20;126320;2021-01-01;2021-12-31;87100398555.00;6.60171400;Índice de Endividamento;
01.083.200/0001-18;2022-01-01;9;126025;2021-01-01;2021-12-31;61562.00;0.00253989;Índice de Endividamento;
01.104.937/0001-70;2022-01-01;2;125970;2021-01-01;2021-12-31;38452000.00;0.15310000;Índice de Endividamento;
01.107.327/0001-20;2022-01-01;4;125657;2021-01-01;2021-12-31;825489227.58;0.85792455;Índice de Endividamento;
01.258.944/0001-26;2022-01-01;5;126330;2021-01-01;2021-12-31;3635342000.00;1.40681438;Índice de Endividamento;
01.319.044/0001-41;2022-01-01;1;116442;2021-01-01;2021-12-31;1179197988.40;5.98438366;Índice de Endividamento;
01.417.222/0001-77;2022-01-01;6;125816;2021-01-01;2021-12-31;8587269000.00;1.77149612;Índice de Endividamento;
01.543.032/0001-04;2022-01-01;9;123966;2021-01-01;2021-12-31;13020895000.00;2.20265336;Índice de Endividamento;
01.545.826/0001-07;2022-01-01;13;125981;2021-01-01;2021-12-31;2906270000.00;1.60040948;Índice de Endividamento;
01.548.981/0001-79;2022-01-01;5;125596;2021-01-01;2021-12-31;588709.00;0.00250000;Índice de Endividamento;
01.599.101/0001-93;2022-01-01;33;126901;2021-01-31;2021-12-31;0.00;1.62342701;Outros índices;Dívida Líquida dividida pelo EBITDA na mesma data (vide reconciliação no item 3.2 deste Formulário de Referência). A Companhia utiliza o índice Dívida Líquida sobre o EBITDA como indicador para medir o grau de alavancagem e observância de covenants em contratos financeiros.
01.599.101/0001-93;2022-01-01;33;126901;2021-01-31;2021-12-31;1381341000.00;2.29905081;Índice de Endividamento;
01.616.929/0001-02;2022-01-01;7;125984;2021-01-01;2021-12-31;3036985.00;0.90472137;Índice de Endividamento;
01.838.723/0001-27;2022-01-01;16;125591;2021-01-01;2021-12-31;47077763687.28;5.33000000;Índice de Endividamento;
01.851.771/0001-55;2022-01-01;2;125645;2021-01-01;2021-12-31;171.38;0.15300000;Índice de Endividamento;
01.896.779/0001-38;2022-01-01;4;120648;2021-01-01;2021-12-31;226535000.00;0.66100000;Índice de Endividamento;
01.917.818/0001-36;2022-01-01;18;127410;2021-01-01;2021-12-31;0.00;3.48000000;Outros índices;A Companhia entende que o índice Dívida Líquida e EBITDA Ajustado para Covenants contratuais melhor reflete seu nível de endividamento, pois é o indicador financeiro utilizado pela Companhia para cálculo de covenants financeiros no âmbito de determinadas dívidas da Companhia.- A Dívida Líquida equivale ao total da Dívida Bruta deduzida de caixa e equivalentes de caixa e de títulos e valores mobiliários.- A Dívida Bruta equivale ao total da soma do circulante e não circulante dos empréstimos, financiamentos, debêntures, juros devidos, benefícios pós-emprego (referente a dívida com Fundos de Pensão) e rendas a receber e a pagar de operações de swap.- EBITDA Ajustado para Covenants contratuais é calculadopor meio do "EBITDA" dos 12 meses, ajustado pelo resultado de equivalência patrimonial e pelas outras receitas e despesas operacionais (antigo resultado não-operacional), adicionado de provisões de contingência, provisões para créditos de liquidação duvidosa (PECLD), o valor justo do ativo financeiro da concessão e recuperação de Créditos de PIS e COFINS sobre ICMS considerando que tais itens não têm efeito no caixa.
01.917.818/0001-36;2022-01-01;18;127410;2021-01-01;2021-12-31;2585703000.00;5.37754896;Índice de Endividamento;
01.938.783/0001-11;2022-01-01;6;126113;2021-01-01;2021-12-31;96580000.00;0.26055380;Índice de Endividamento;
01.957.772/0001-89;2022-01-01;2;130615;2021-01-01;2021-12-31;462000.00;0.04000000;Índice de Endividamento;
01.968.293/0001-68;2022-01-01;3;121060;2021-01-01;2021-12-31;2925040089.37;3.24840000;Índice de Endividamento;
01.989.044/0001-59;2022-01-01;1;116453;2021-01-01;2021-12-31;7761869.22;100.00000000;Índice de Endividamento;
02.016.440/0001-62;2022-01-01;5;125875;2021-01-01;2021-12-31;11784364000.00;3.18873517;Índice de Endividamento;
02.041.460/0001-93;2022-01-01;6;123617;2021-01-01;2021-12-31;7603478.00;0.70097998;Índice de Endividamento;
02.041.460/0001-93;2022-01-01;6;123617;2022-01-01;2022-12-31;12293528.00;0.60466308;Índice de Endividamento;
02.062.747/0001-08;2022-01-01;2;125655;2021-01-01;2021-12-31;198.00;0.16100000;Índice de Endividamento;
02.105.040/0001-23;2022-01-01;1;114700;2021-01-01;2021-12-31;18659000.00;0.57792851;Índice de Endividamento;
02.149.205/0001-69;2022-01-01;9;126960;2021-01-01;2021-12-31;0.00;0.49445540;Outros índices;Parte substancial dos passivos da Companhia são compostos por provisões técnicas das operações de seguros e previdência complementar 43% do passivo total em 2021, para os quais são oferecidos ativos garantidores conforme regras da Superintendência de Seguros Privados (SUSEP). Outra significativa parcela de seus passivos são as operações com cartão de crédito (19% do passivo total em 2021), para os quais existem títulos e créditos a receber atrelados as essas operações. Por esses motivos, tais passivos não representam endividamento da Companhia. O item 10.1 (c) deste formulário apresenta esses passivos e os respectivos ativos atrelados ou dados em garantias. Desta forma, a Administração entende que seu endividamento é representado por seus passivos financeiros, excluídos os passivos de operações de cartão de crédito e de capitalização, de curto e longo prazo no montante de R$ 4.433.846 mil. O item 10.1 (f) deste formulário detalha a composição deste montante.
02.162.616/0001-94;2022-01-01;2;118339;2021-01-01;2021-12-31;175443.36;0.15000000;Índice de Endividamento;
02.193.750/0001-52;2022-01-01;5;127063;2021-01-01;2021-12-31;0.00;1.21360000;Outros índices;Índice de alavancagem = [empréstimos e financiamentos + antecipação de recebíveis + impostos + fornecedores (dívida concursal) - caixa e equivalentes de caixa] / somatório do ebitda ajustado dos últimos doze meses Acreditamos que o índice em questão é apropriado para a correta compreensão da situação financeira e do nível de endividamento por demonstrar a capacidade da Companhia de fazer frente às suas obrigações financeiras frente à sua capacidade de geração de caixa operacional
02.193.750/0001-52;2022-01-01;5;127063;2021-01-01;2021-12-31;765791000.00;0.59110000;Índice de Endividamento;
02.201.787/0001-85;2022-01-01;1;115828;2021-01-01;2021-12-31;118638671.00;114.00000000;Índice de Endividamento;
02.217.319/0001-07;2022-01-01;2;124153;2021-01-01;2021-12-31;302847.00;67.00000000;Índice de Endividamento;
02.255.187/0001-08;2022-01-01;6;125729;2021-01-01;2021-12-31;658603000.00;0.35282071;Índice de Endividamento;
02.258.422/0001-97;2022-01-01;1;115539;2021-01-01;2021-12-31;103504725.03;0.43020000;Índice de Endividamento;
02.281.836/0001-37;2022-01-01;7;126066;2021-01-01;2021-12-31;7980667.00;3.38510000;Índice de Endividamento;
02.286.479/0001-08;2022-01-01;4;124699;2021-01-01;2021-12-31;0.00;1.42482002;Outros índices;Dívida Líquida / patrimônio líquido (Consolidado) - Esse índice representa a relação entre o capital de terceiros e o capital próprio dos acionistas. A Companhia entende que esse índice é apropriado para demonstrar a participação do capital de terceiros frente ao capital próprio no financiamento das suas atividades.
02.286.479/0001-08;2022-01-01;4;124699;2021-01-01;2021-12-31;0.00;2.20550146;Outros índices;Dívida Líquida / EBITDA (Consolidado) - A Companhia entende que esse índice é apropriado para demonstrar o endividamento da Companhia.
02.286.479/0001-08;2022-01-01;4;124699;2021-01-01;2021-12-31;4048711000.00;2.92767921;Índice de Endividamento;
02.286.479/0001-08;2022-01-01;4;124699;2021-01-01;2021-12-31;0.00;0.47641712;Outros índices;Dívida Líquida / valor da frota (Consolidado) - A Companhia entende que esse índice é apropriado pois demonstra que 47,6% da frota da Companhia seria suficiente para liquidar todo o seu endividamento.
02.291.077/0001-93;2022-01-01;4;125148;2021-01-01;2021-12-31;17110077.97;15.55461634;Índice de Endividamento;
02.302.100/0001-06;2022-01-01;12;126004;2021-01-01;2021-12-31;5924469000.00;4.28406580;Índice de Endividamento;
02.302.101/0001-42;2022-01-01;8;125410;2021-01-01;2021-12-31;894863000.00;0.54833500;Índice de Endividamento;
02.328.280/0001-97;2022-01-01;6;125930;2021-01-01;2021-12-31;7441575260.54;0.69706018;Índice de Endividamento;
02.351.144/0001-18;2022-01-01;8;125199;2021-01-01;2021-12-31;363477000.00;53.00000000;Índice de Endividamento;
02.351.877/0001-52;2022-01-01;22;126272;2021-01-01;2021-12-31;1640793000.00;0.35857595;Índice de Endividamento;
02.357.251/0001-53;2022-01-01;4;127301;2021-01-01;2021-12-31;247271000.00;0.55647299;Índice de Endividamento;
02.357.251/0001-53;2022-01-01;4;127301;2021-01-01;2021-12-31;0.00;0.33150821;Outros índices;Indice do montante total da dívida líquida sobre o total do passivo
02.382.073/0001-10;2022-01-01;2;118535;2021-01-01;2021-12-31;578422.00;1.17959124;Índice de Endividamento;
02.387.241/0001-60;2022-01-01;23;127111;2021-01-01;2021-12-31;33155991000.00;2.20767000;Índice de Endividamento;
02.397.080/0001-96;2022-01-01;6;124018;2021-01-01;2021-12-31;330123.00;0.89300872;Índice de Endividamento;
02.415.408/0001-50;2022-01-01;12;125304;2021-01-01;2021-12-31;544589000.00;2.65894421;Índice de Endividamento;
02.421.421/0001-11;2022-01-01;9;125541;2021-01-01;2021-12-31;24712079827.34;98.43000000;Índice de Endividamento;
02.429.144/0001-93;2022-01-01;11;127220;2021-01-01;2021-12-31;4931400000.00;2.93433030;Índice de Endividamento;
02.451.848/0001-62;2022-01-01;14;125297;2021-01-01;2021-12-31;2335646.00;4.71996427;Índice de Endividamento;
02.474.103/0001-19;2022-01-01;7;126050;2021-01-01;2021-12-31;30183128000.00;3.80494815;Índice de Endividamento;
02.502.844/0001-66;2022-01-01;6;126321;2021-01-01;2021-12-31;9746478000.00;2246.17838843;Índice de Endividamento;
02.509.186/0001-34;2022-01-01;3;124669;2021-01-31;2021-12-31;224088.00;0.73000000;Índice de Endividamento;
02.509.491/0001-26;2022-01-01;4;125519;2021-01-01;2021-12-31;1990840659.50;79.40660334;Índice de Endividamento;
02.558.157/0001-62;2022-01-01;11;125390;2021-01-01;2021-12-31;45657337440.05;0.65292676;Índice de Endividamento;
02.560.878/0001-07;2022-01-01;2;123300;2021-01-01;2021-12-31;310599000.00;0.60000000;Índice de Endividamento;
02.600.854/0001-34;2022-01-01;3;125169;2021-01-01;2021-12-31;24709864.00;147.06000000;Índice de Endividamento;
02.635.522/0001-95;2022-03-31;8;120081;2021-04-01;2022-03-31;2353740459.89;1.95085027;Índice de Endividamento;
02.635.522/0001-95;2022-03-31;8;120081;2021-04-01;2022-03-31;0.00;0.10485530;Outros índices;Sendo: Dívida líquida: corresponde à dívida bruta, deduzido do caixa, equivalentes de caixa e caixa restrito. EBITDA ajustado de acordo com o descrito no item 3.2. Motivo da utilização do índice: Índice amplamente utilizado pelo mercado.
02.643.896/0001-52;2022-01-01;3;118472;2021-01-01;2021-12-31;174065.00;96.80334570;Índice de Endividamento;
02.664.042/0001-52;2022-01-01;1;115755;2021-01-01;2021-12-31;18237539.00;0.17000000;Índice de Endividamento;
02.682.287/0001-02;2022-01-01;5;126946;2021-01-01;2021-12-31;42152762.79;0.20810600;Índice de Endividamento;
02.724.983/0001-34;2022-01-01;3;125993;2021-01-01;2021-12-31;49063980.56;93.92000000;Índice de Endividamento;
02.736.470/0001-43;2022-01-01;1;116669;2021-01-01;2021-12-31;131067.00;2.72620000;Índice de Endividamento;
02.762.113/0001-50;2022-01-01;3;120456;2021-01-01;2021-12-31;47661019.50;0.24656384;Índice de Endividamento;
02.762.121/0001-04;2022-01-01;8;125996;2021-01-01;2021-12-31;2565089502.13;1.17275797;Índice de Endividamento;
02.762.124/0001-30;2022-01-01;1;115837;2021-01-01;2021-12-31;384.65;0.05700000;Índice de Endividamento;
02.773.542/0001-22;2022-01-01;2;116214;2021-01-01;2021-12-31;5965000.00;0.42176341;Índice de Endividamento;
02.773.542/0001-22;2022-01-01;2;116214;2022-01-01;2022-12-31;4283000.00;0.30283532;Índice de Endividamento;
02.783.423/0001-50;2022-01-01;1;116763;2021-01-01;2021-12-31;0.00;0.00000001;Outros índices;A Companhia não possui nível de endividamento
02.796.775/0001-40;2022-01-01;1;115838;2021-01-01;2021-12-31;124001.26;11.67000000;Índice de Endividamento;
02.800.026/0001-40;2022-01-01;11;127177;2021-01-01;2021-12-31;14742189.00;0.50000000;Índice de Endividamento;
02.846.056/0001-97;2022-01-01;17;125620;2021-01-01;2021-12-31;32790644000.00;3.02646512;Índice de Endividamento;
02.846.056/0001-97;2022-01-01;17;125620;2022-01-01;2022-12-31;35455741000.00;3.82808891;Índice de Endividamento;
02.860.694/0001-62;2022-01-01;1;116579;2021-01-01;2021-12-31;406208516.09;3.16735986;Índice de Endividamento;
02.916.265/0001-60;2022-01-01;13;127102;2021-01-01;2021-12-31;159312396000.00;3.33000000;Índice de Endividamento;
02.919.555/0001-67;2022-01-01;6;126933;2021-01-01;2021-12-31;10021485000.00;1.54586903;Índice de Endividamento;
02.932.074/0001-91;2022-01-01;6;126247;2021-01-01;2021-12-31;0.00;0.75318268;Outros índices;O índice corresponde à divisão do endividamento financeiro no valor de R$ 7.406,4 milhões (composto por empréstimos, financiamentos e títulos a pagar), constantes nos passivos circulante e não circulante, conforme reportados nas Demonstrações Financeiras Consolidadas da Companhia relativas ao exercício social de 2021, posteriormente divididos pelo Patrimônio Líquido reportado ao final do exercício.Tais passivos correspondem aos passivos corrigidos por taxas de juros e refletem melhor o endividamento bruto da Companhia do que o total dos passivos circulante e não circulante, que inclui, por exemplo, valores recebidos correspondentes a adiantamentos por desinvestimentos de ativos.
02.950.811/0001-89;2022-01-01;27;127214;2021-01-01;2021-12-31;2184812000.00;0.26570000;Índice de Endividamento;
02.992.449/0001-09;2022-01-01;2;125653;2021-01-01;2021-12-31;201.00;0.16900000;Índice de Endividamento;
02.998.301/0001-81;2022-01-01;7;127247;2021-01-01;2021-12-31;2057291000.00;1.07843467;Índice de Endividamento;
02.998.611/0001-04;2022-01-01;8;126090;2021-01-01;2021-12-31;14184004000.00;0.95884933;Índice de Endividamento;
03.014.553/0001-91;2022-01-01;5;127007;2021-01-01;2021-12-31;2245918000.00;2.46077841;Índice de Endividamento;
03.025.305/0001-46;2022-01-01;2;124493;2021-01-01;2021-12-31;1852129.00;3.31000000;Índice de Endividamento;
03.207.703/0001-83;2022-01-01;2;125274;2021-01-01;2021-12-31;1670450.00;4.80858401;Índice de Endividamento;
03.220.438/0001-73;2022-01-01;7;127055;2021-01-01;2021-12-31;46468980000.00;3.04808172;Índice de Endividamento;
03.279.285/0001-30;2022-01-01;5;126074;2021-01-01;2021-12-31;751537000.00;0.99040000;Índice de Endividamento;
03.303.999/0001-36;2022-01-01;3;122813;2021-01-01;2021-12-31;13351439.25;0.98000000;Índice de Endividamento;
03.342.704/0001-30;2022-01-01;16;124104;2021-01-01;2021-12-31;0.00;2.11578965;Outros índices;Este outro índice corresponde ao endividamento representado pela dívida líquida da Companhia sobre o EBITDA. A Companhia utiliza esse índice para aferir quanto tempo sua geração operacional de caixa levaria para realizar o pagamento de sua dívida líquida. Apesar de ser uma medida não contábil, este índice é utilizado para acompanhar os covenants de nossos empréstimos e financiamentos.
03.342.704/0001-30;2022-01-01;16;124104;2021-01-01;2021-12-31;2843580000.00;1.51915816;Índice de Endividamento;
03.342.704/0001-30;2022-01-01;16;124104;2022-01-01;2022-12-31;2962430000.00;1.42057219;Índice de Endividamento;
