CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Pais_Negociacao;Mercado;Administradora;Data_Emissao;Data_Inicio_Listagem;Percentual;Descricao_Segmento;Descricao_Proporcao_Certificado;Descricao_Banco_Depositario;Descricao_Instituicao_Custodiante
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;ADR - BDORY;Estados Unidos;Secundário;SEC - Securities and Exchange Commission.;2009-11-10;2009-12-02;1.141166;Segmento de Balcão;1:1 (1 ADR pra cada Ação Ordinária);The Bank of New York Mellon;Banco do Brasil S.A.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2012;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-01-20;2012-01-20;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2012(Reabertura);Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-03-05;2012-03-05;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2013;Luxemburgo;Euro MTF;The Luxembourg Stock Exchange;2013-01-31;2013-01-31;0.000000;Secundário - Balcão;;;Bank of New York Mellon
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-10-10;2012-10-10;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2011-05-26;2011-05-26;0.000000;Euro MTF;;;The Bank of New York Mellon.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-06-19;2012-06-19;0.000000;Euro MTF;;;The Bank of New York Mellon.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2017-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2017-10-23;2017-10-23;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2018-3;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2018-04-19;2018-04-19;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Letras Financeiras;IECE - Bônus Perpétuo 2014;Luxemburgo;Secundário - Balcão;Euro MTF;2014-06-18;2014-06-18;0.000000;Euro MTF;;;Bank of New York Mellon
