CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721556;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721556;2021-12-31;37.39000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721556;2020-12-31;33.29000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721556;2019-12-31;35.67000000;0.00000000;157100000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721557;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721557;2021-12-31;10.59000000;0.00000000;36400000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721557;2020-12-31;8.82000000;0.00000000;130100000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721557;2019-12-31;8.87000000;0.00000000;540000000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721558;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721558;2021-12-31;2.99000000;0.00000000;349100000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721558;2020-12-31;75.98000000;0.00000000;387100000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721558;2019-12-31;-85.00000000;0.00000000;657300000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721559;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721559;2021-12-31;-1.03000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721559;2020-12-31;39.25000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721559;2019-12-31;-0.03000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721560;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721560;2021-12-31;12.62000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721560;2020-12-31;-18.33000000;0.00000000;977000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721560;2019-12-31;5.34000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721561;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721561;2021-12-31;-0.77000000;0.00000000;508300000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721561;2020-12-31;-3.44000000;0.00000000;410200000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721561;2019-12-31;89.53000000;0.00000000;529600000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721562;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721562;2021-12-31;7.16000000;0.00000000;1004800000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721562;2020-12-31;821.69000000;0.00000000;916600000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721562;2019-12-31;0.00000000;0.00000000;1269200000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721563;2022-05-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721563;2021-12-31;0.11000000;0.00000000;38900000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721563;2020-12-31;0.96000000;0.00000000;81000000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721563;2019-12-31;1.43000000;0.00000000;36200000.00
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;721564;2022-05-31;0.00000000;0.00000000;0.00
