CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;46927;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;46928;Preferencial;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;46494;Ordinária;;324100;R$ por Unidade;1000000;2.71;13.800000;32.410000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;44929;Ordinária;;4005300;R$ por Unidade;40126590;8.88;3.660000;9.981660
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;44929;Preferencial;;8010600;R$ por Unidade;88634592;17.76;8.690000;9.037780
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;46983;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;46881;Ordinária;;0;R$ por Unidade;17500000;0.00;2.819487;0.000000
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;46882;Ordinária;;17500000;R$ por Unidade;17500000;33.58;4.138213;100.000000
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;46856;Ordinária;;1100000;R$ por Unidade;1100000;9628200.00;0.440000;100.000000
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;46856;Preferencial;;4400000;R$ por Unidade;4400000;38512800.00;0.440000;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46719;Ordinária;;7032041;R$ por Unidade;7032041;3.85;0.610000;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46720;Ordinária;;2595332;R$ por Unidade;2595332;4.87;0.230000;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46721;Ordinária;;4006776;R$ por Unidade;4006776;6.88;0.350000;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46722;Ordinária;;363000;R$ por Unidade;400000;7.78;0.040000;90.750000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46723;Ordinária;;1100000;R$ por Unidade;1100000;10.69;0.100000;100.000000
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;46724;Ordinária;;1070000;R$ por Unidade;1070000;7.71;0.100000;100.000000
