CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2022-01-01;2022-05-31;65803792.21;Diretoria Estatutária;33.00;64870222.69;33.00;23698306.84;8358875.61;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;10937680.08;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;10937680.08;10937680.08;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2022-01-01;2022-05-31;65803792.21;Conselho Fiscal;5.00;359065.20;5.00;359065.20;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2022-01-01;2022-05-31;65803792.21;Conselho de Administração;8.00;574504.32;8.00;574504.32;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho Fiscal;5.00;366983.48;5.00;366983.48;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho de Administração;8.00;283645.38;4.25;283645.38;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Diretoria Estatutária;32.67;42918700.60;42.25;23411373.91;3627726.19;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;7892440.20;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;2268491.41;5718668.89;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Conselho Fiscal;4.50;331960.48;4.84;331960.48;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Conselho de Administração;7.58;312355.78;4.42;312355.78;0.00;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;49595534.00;Diretoria Estatutária;33.50;48951217.74;41.17;23845535.40;4307342.26;0.00;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;9163052.97;0.00;A contribuição previdenciária Patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;833824.37;10801462.74;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2019-01-01;2019-12-31;54598338.68;Conselho de Administração;7.00;306548.08;4.25;306548.08;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da DiretoriaExecutiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/Anual-2022- CVM/SEP, de 24/02/2022.;0.00;0.00;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofíciocircular/ CVM/SEP/Nº 1/2020.
