CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Daniel Alves Maria;Diretor de Relações com Investidores
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;Fausto de Andrade Ribeiro;Diretor Presidente
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;Paulo Henrique Bezerra Rodrigues Costa;Diretor Presidente
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;Cynthia Judite Perciano Borges;Diretor de Relações com Investidores
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Rodrigo Limp Nascimento;Diretor Presidente
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Elvira Baracuhy Cavalcanti Presta;Diretor de Relações com Investidores
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;BRÁS KLEYBER BORGES TEODORO;Diretor de Relações com Investidores
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;Júlio César da Costa;Diretor Presidente
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;Diretor de Relações com Investidores
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Junior;Diretor de Relações com Investidores
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Junior;Diretor Presidente
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;Clarissa Della Nina Sadock Accorsi;Diretor Presidente/Relações com Investidores
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Fernando Pereira Aragão;Diretor Presidente
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Gabriel Lopes Ferreira;Diretor de Relações com Investidores
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;José Guilherme Cruz Souza;Diretor de Relações com Investidores
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;Bruno Augusto Sacchi Zaremba;Diretor Presidente
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;FREDERICO DE SIQUEIRA FILHO;Diretor Presidente
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;Luiz Fernando Ferreira da Silva;Diretor de Relações com Investidores
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;ANA CAROLINA PAIFER;Diretor Presidente
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;DANILO RODRIGO CISOTTO;Diretor de Relações com Investidores
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;Aloizio Mercadante Oliva;Diretor Presidente
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;Natália Maria Rapassi Dias Melo;Diretor de Relações com Investidores
00.389.481/0001-79;2022-01-01;2;118400;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Ricardo Soeiro dos Santos Cunha;Diretor Presidente
00.389.481/0001-79;2022-01-01;2;118400;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;André Passos Miranda;Diretor de Relações com Investidores
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;João Vitor Nazareth Menin Teixeira de Souza;Diretor Presidente
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;Helena Lopes Caldeira;Diretor de Relações com Investidores
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;Alain Jean Pierre Baldacci;Diretor Presidente/Relações com Investidores
