CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;9800;93;762
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;0;1;0
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;Debêntures;4306;0;728
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;0;0;224
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;Debêntures;0;0;0
00.389.481/0001-79;2022-01-01;2;118400;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;0;0;94
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;Debêntures Conversíveis;0;0;0
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Debêntures;0;1;0
00.776.574/0001-56;2022-01-01;16;127140;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;2510;602;411
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;Debêntures;11258;334;320
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;Nota Comercial;0;0;11
00.897.864/0001-58;2022-01-01;1;113493;SANTA CATARINA PART INVEST SA;Debêntures;1;31;0
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;Debêntures;0;5;0
00.974.211/0001-25;2022-01-01;1;116172;LINHA AMARELA S.A. - LAMSA;Debêntures;0;1;0
01.027.058/0001-91;2022-01-01;20;126320;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Debêntures;0;50;1
01.107.327/0001-20;2022-01-01;4;125657;BBM LOGÍSTICA S.A.;Debêntures;0;0;31
01.319.044/0001-41;2022-01-01;1;116442;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;0;153153;0
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;Certificados de Depósito de Valores Mobiliários;0;0;1
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;Debêntures;307;1;1
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Debêntures;16;10;0
01.616.929/0001-02;2022-01-01;7;125984;SANEAMENTO DE GOIAS SA;Debêntures;4;1;273
01.838.723/0001-27;2022-01-01;16;125591;BRF S.A.;Debêntures;19730;286;44
01.917.818/0001-36;2022-01-01;18;127410;LIGHT ENERGIA S.A.;Debêntures;0;0;1
01.957.772/0001-89;2022-01-01;2;130615;SUL 116 PARTICIPACOES S.A.;Debêntures;0;0;0
01.968.293/0001-68;2022-01-01;3;121060;ELETRORIVER S.A.;Debêntures;0;0;1
01.989.044/0001-59;2022-01-01;1;116453;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Debêntures;0;678;0
02.041.460/0001-93;2022-01-01;6;123617;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;Debêntures;0;7;11
02.105.040/0001-23;2022-01-01;1;114700;VIRGO II COMPANHIA DE SECURITIZACAO;Certificado de Recebíveis do Agronegócio;7804;31;0
02.105.040/0001-23;2022-01-01;1;114700;VIRGO II COMPANHIA DE SECURITIZACAO;Certificados de Recebíveis Imobiliários;2200;82;0
02.149.205/0001-69;2022-01-01;9;126960;PORTO SEGURO S.A.;Debêntures;0;0;5
02.149.205/0001-69;2022-01-01;9;126960;PORTO SEGURO S.A.;Letras Financeiras;0;0;27
02.201.787/0001-85;2022-01-01;1;115828;CEL PARTICIPAÇÕES S.A. - CELPAR;Debêntures;0;0;0
02.255.187/0001-08;2022-01-01;6;125729;UNIFIQUE TELECOMUNICAÇÕES S.A.;Debêntures;278;1;17
02.286.479/0001-08;2022-01-01;4;124699;LOCALIZA FLEET S.A.;Debêntures;0;0;89
02.291.077/0001-93;2022-01-01;4;125148;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Debêntures;1;0;7
02.302.100/0001-06;2022-01-01;12;126004;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Debêntures;0;3;152
02.302.100/0001-06;2022-01-01;12;126004;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Nota Comercial;0;0;1
02.338.534/0001-58;2022-01-01;4;126151;LONGDIS S.A.;Bônus de Subscrição;0;0;0
02.382.073/0001-10;2022-01-01;2;118535;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Debêntures;0;1;22
02.387.241/0001-60;2022-01-01;23;127111;RUMO S.A.;Debêntures;50284;648;294
02.415.408/0001-50;2022-01-01;12;125304;CONC ROD.OESTE SP VIAOESTE S.A;Debêntures;0;2;60
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;Debêntures;0;0;1
02.429.144/0001-93;2022-01-01;11;127220;CPFL ENERGIA S.A.;Debêntures;0;2;0
02.451.848/0001-62;2022-01-01;14;125297;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Debêntures;0;0;312
02.474.103/0001-19;2022-01-01;7;126050;ENGIE BRASIL ENERGIA S.A.;Debêntures;33321;884;0
02.509.186/0001-34;2022-01-01;3;124669;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;Debêntures;0;0;0
02.509.491/0001-26;2022-01-01;4;125519;CONC ECOVIAS IMIGRANTES S.A.;Debêntures;8596;19;71
02.591.787/0001-39;2022-01-01;2;122861;CAPITALPART PARTICIPACOES S.A.;Bônus de Subscrição;0;0;0
