CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Liderança;251;25620;5540
00.000.000/0001-91;2023-12-31;19;137597;BCO BRASIL S.A.;Não-liderança;2548;39201;12793
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Liderança;12;562;122
00.000.208/0001-00;2023-12-31;13;135745;BRB BANCO DE BRASILIA S.A.;Não-liderança;327;1966;463
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Liderança;1;641;265
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Não-liderança;26;4664;4073
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Liderança;0;22;8
00.070.698/0001-11;2023-12-31;6;136076;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Não-liderança;6;36;10
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Liderança;12;135;74
00.080.671/0001-00;2023-12-31;3;133573;CARAMURU ALIMENTOS S.A.;Não-liderança;792;1104;278
00.194.724/0001-13;2023-12-31;7;137743;AUREN OPERAÇÕES S.A.;Liderança;5;75;16
00.194.724/0001-13;2023-12-31;7;137743;AUREN OPERAÇÕES S.A.;Não-liderança;126;321;45
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Liderança;58;262;25
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Não-liderança;993;1666;440
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Liderança;1;0;0
00.272.185/0001-93;2023-12-31;2;134548;CIMS S.A.;Não-liderança;1;0;0
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Liderança;0;24;22
00.336.701/0001-04;2023-12-31;15;136065;TELEC BRASILEIRAS S.A. TELEBRAS;Não-liderança;20;228;106
00.359.742/0001-08;2023-12-31;3;134771;FICTOR ALIMENTOS S.A.;Liderança;2;2;0
00.359.742/0001-08;2023-12-31;3;134771;FICTOR ALIMENTOS S.A.;Não-liderança;17;2;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Liderança;0;45;3
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Não-liderança;8;59;22
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Liderança;0;41;4
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Não-liderança;63;148;8
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Liderança;0;1;2
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Não-liderança;7;47;10
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Liderança;0;0;1
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Não-liderança;0;0;1
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;5414;3586;367
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;25466;7788;1009
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Liderança;82;1012;113
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Não-liderança;3868;10710;747
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Liderança;5;193;8
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Não-liderança;795;3386;402
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Liderança;0;3;3
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Não-liderança;0;8;17
