CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;FRE WEB;138169;2024-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138169
00.000.000/0001-91;2024-12-31;2;BCO BRASIL S.A.;001023;FRE WEB;138997;2024-06-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138997
00.000.000/0001-91;2024-12-31;3;BCO BRASIL S.A.;001023;FRE WEB;139632;2024-07-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139632
00.000.000/0001-91;2024-12-31;4;BCO BRASIL S.A.;001023;FRE WEB;139693;2024-07-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139693
00.000.000/0001-91;2024-12-31;5;BCO BRASIL S.A.;001023;FRE WEB;141221;2024-08-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141221
00.000.000/0001-91;2024-12-31;6;BCO BRASIL S.A.;001023;FRE WEB;141659;2024-09-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141659
00.000.000/0001-91;2024-12-31;7;BCO BRASIL S.A.;001023;FRE WEB;141957;2024-10-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141957
00.000.000/0001-91;2024-12-31;8;BCO BRASIL S.A.;001023;FRE WEB;142110;2024-10-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142110
00.000.000/0001-91;2024-12-31;9;BCO BRASIL S.A.;001023;FRE WEB;143483;2024-11-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143483
00.000.000/0001-91;2024-12-31;10;BCO BRASIL S.A.;001023;FRE WEB;143728;2024-12-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143728
00.000.000/0001-91;2024-12-31;11;BCO BRASIL S.A.;001023;FRE WEB;144883;2025-02-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144883
00.000.000/0001-91;2024-12-31;12;BCO BRASIL S.A.;001023;FRE WEB;146473;2025-04-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146473
00.000.000/0001-91;2024-12-31;13;BCO BRASIL S.A.;001023;FRE WEB;147343;2025-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147343
00.000.000/0001-91;2024-12-31;14;BCO BRASIL S.A.;001023;FRE WEB;147862;2025-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147862
00.000.208/0001-00;2024-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;138927;2024-06-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138927
00.000.208/0001-00;2024-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;139088;2024-06-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139088
00.000.208/0001-00;2024-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;139787;2024-07-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139787
00.000.208/0001-00;2024-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;141325;2024-08-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141325
00.000.208/0001-00;2024-12-31;5;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;142124;2024-10-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142124
00.000.208/0001-00;2024-12-31;6;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;142221;2024-10-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142221
00.000.208/0001-00;2024-12-31;7;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;142440;2024-10-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142440
00.000.208/0001-00;2024-12-31;8;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;143439;2024-11-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143439
00.000.208/0001-00;2024-12-31;9;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;143631;2024-12-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143631
00.000.208/0001-00;2024-12-31;10;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;144172;2025-01-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144172
00.000.208/0001-00;2024-12-31;11;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;144184;2025-01-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144184
00.000.208/0001-00;2024-12-31;12;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;144769;2025-02-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144769
00.000.208/0001-00;2024-12-31;13;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;145382;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145382
00.000.208/0001-00;2024-12-31;14;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;145477;2025-03-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145477
00.000.208/0001-00;2024-12-31;15;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;146155;2025-04-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146155
00.000.208/0001-00;2024-12-31;16;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;146199;2025-04-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146199
00.000.208/0001-00;2024-12-31;17;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;147289;2025-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147289
00.000.208/0001-00;2024-12-31;18;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;148166;2025-05-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148166
00.001.180/0001-26;2024-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;138078;2024-05-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138078
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;138880;2024-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138880
00.001.180/0001-26;2024-12-31;3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;139247;2024-06-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139247
00.001.180/0001-26;2024-12-31;4;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;139702;2024-07-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139702
00.001.180/0001-26;2024-12-31;5;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;140310;2024-07-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140310
00.001.180/0001-26;2024-12-31;6;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;140544;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140544
00.001.180/0001-26;2024-12-31;7;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;141830;2024-09-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141830
00.001.180/0001-26;2024-12-31;8;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;141870;2024-09-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141870
00.001.180/0001-26;2024-12-31;9;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;141946;2024-09-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141946
00.001.180/0001-26;2024-12-31;10;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;142282;2024-10-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142282
00.001.180/0001-26;2024-12-31;11;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;142643;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142643
00.001.180/0001-26;2024-12-31;12;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;143803;2024-12-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143803
00.001.180/0001-26;2024-12-31;13;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;143922;2024-12-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143922
00.001.180/0001-26;2024-12-31;14;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;144329;2025-01-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144329
00.001.180/0001-26;2024-12-31;15;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;144489;2025-01-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144489
00.001.180/0001-26;2024-12-31;16;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;145140;2025-02-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145140
00.001.180/0001-26;2024-12-31;17;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;145388;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145388
00.001.180/0001-26;2024-12-31;18;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;146448;2025-04-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146448
00.001.180/0001-26;2024-12-31;19;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;146553;2025-04-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146553
00.001.180/0001-26;2024-12-31;20;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;147116;2025-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147116
00.001.180/0001-26;2024-12-31;21;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;147130;2025-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147130
00.001.180/0001-26;2024-12-31;22;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;147675;2025-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147675
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;138567;2024-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138567
00.070.698/0001-11;2024-12-31;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;139056;2024-06-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139056
00.070.698/0001-11;2024-12-31;3;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;141022;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141022
00.070.698/0001-11;2024-12-31;4;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;141717;2024-09-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141717
00.070.698/0001-11;2024-12-31;5;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;146836;2025-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=146836
00.080.671/0001-00;2024-12-31;1;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;138372;2024-05-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138372
00.080.671/0001-00;2024-12-31;2;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;138870;2024-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=138870
