CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;333189;Capital Emitido;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;333190;Capital Subscrito;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;333191;Capital Integralizado;2023-04-27;120000000000.00;;5730834040;0;5730834040
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;333638;Capital Emitido;2025-04-29;2344020829.07;;320121140;166059947;486181087
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;333639;Capital Subscrito;2025-04-29;2344020829.07;;320121140;166059947;486181087
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;333640;Capital Integralizado;2025-04-29;2344020829.07;;320121140;166059947;486181087
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;333641;Capital Autorizado;2020-08-03;0.00;;555624000;164376000;720000000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333083;Capital Emitido;2025-04-29;70135201405.27;Não Aplicável;2028544286;280088314;2308632600
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333084;Capital Subscrito;2025-04-29;70135201405.27;Não aplicável.;2028544286;280088314;2308632600
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333085;Capital Integralizado;2025-04-29;70135201405.27;Não aplicável.;2028544286;280088314;2308632600
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333086;Capital Autorizado;2022-11-04;29864798594.73;;0;0;0
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;331850;Capital Integralizado;2021-10-14;566025355.62;;35920890;36161025;72081915
