CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333083;Preferencial Classe A;146920
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333083;Preferencial Classe B;279941393
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333083;Preferencial Classe C;1
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333084;Preferencial Classe A;146920
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333084;Preferencial Classe B;279941393
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333084;Preferencial Classe C;1
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333085;Preferencial Classe A;146920
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333085;Preferencial Classe B;279941393
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333085;Preferencial Classe C;1
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;331850;Preferencial Classe A;6565010
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;331850;Preferencial Classe B;29596015
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;333218;Ordinária Classe A;23804898
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;333219;Ordinária Classe A;23804898
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;333220;Ordinária Classe A;23804898
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;333221;Ordinária Classe A;40000000
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;333221;Preferencial Classe A;20000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332410;Preferencial Classe R;255559826
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332410;Preferencial Classe C;107199382
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332410;Preferencial Classe B;5156240
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332410;Preferencial Classe A;16288514
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;333577;Preferencial Classe A;37680
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;333578;Preferencial Classe A;37680
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333104;Preferencial Classe B;69178752
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333104;Preferencial Classe A;81588066
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333106;Preferencial Classe A;81588066
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333106;Preferencial Classe B;69178752
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333107;Preferencial Classe A;81588066
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;333107;Preferencial Classe B;69178752
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;315335;Ordinária Classe A;2609000
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;315335;Preferencial Classe B;10
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;315335;Preferencial Classe A;20
02.291.077/0001-93;2024-12-31;2;143456;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;324991;Ordinária Classe A;100000
02.357.251/0001-53;2024-12-31;2;144295;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;327308;Ordinária Classe A;2576438
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;328048;Preferencial Classe A;1470
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;328049;Preferencial Classe A;1470
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;328050;Preferencial Classe A;1470
04.752.991/0001-10;2024-12-31;9;147350;BIOMM S.A.;332713;Ordinária Classe A;126841532
04.895.728/0001-80;2024-12-31;12;148125;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;333512;Preferencial Classe A;2166816
04.895.728/0001-80;2024-12-31;12;148125;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;333512;Preferencial Classe B;1085373
04.895.728/0001-80;2024-12-31;12;148125;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;333512;Preferencial Classe C;1201249
06.272.793/0001-84;2024-12-31;14;148124;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;333510;Preferencial Classe B;1625729
06.272.793/0001-84;2024-12-31;14;148124;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;333510;Preferencial Classe A;1239231
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332720;Preferencial Classe A;28252700
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332720;Preferencial Classe B;1534662
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332721;Preferencial Classe A;28252700
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332721;Preferencial Classe B;1534662
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332722;Preferencial Classe A;28252700
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332722;Preferencial Classe B;1534662
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332723;Preferencial Classe A;193352996180
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;332723;Preferencial Classe B;6647003820
07.253.321/0001-47;2024-12-31;1;138042;CARBOMIL SA MINER. E INDUSTRIA;315497;Preferencial Classe A;60000000
07.275.159/0001-68;2024-12-31;1;137398;PETROLEO LUB DO NORDESTE SA;314343;Preferencial Classe A;226530
07.275.159/0001-68;2024-12-31;1;137398;PETROLEO LUB DO NORDESTE SA;314343;Preferencial Classe B;538663
07.275.159/0001-68;2024-12-31;1;137398;PETROLEO LUB DO NORDESTE SA;314343;Preferencial Classe C;988370
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;314807;Preferencial Classe B;1316954
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332026;Ordinária Classe A;67734887
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332026;Ordinária Classe B;71724017
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332027;Ordinária Classe A;67734887
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332027;Ordinária Classe B;71724017
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332028;Ordinária Classe A;67734887
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332028;Ordinária Classe B;71724017
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332029;Ordinária Classe A;220495780
07.857.850/0001-50;2024-12-31;5;146907;GP INVESTMENTS, LTD.;332029;Ordinária Classe B;73705949
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;326585;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;326586;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;326587;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331572;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331573;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331574;Preferencial Classe A;1000
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;331689;Preferencial Classe A;1000
