CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Codigo_Posicao;Posicao;Quantidade_PCD;Quantidade_Nao_PCD;Quantidade_Sem_Resposta
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;1;Liderança;0;6;0
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;2;Não-liderança;0;25;0
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;1;Liderança;0;0;0
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;2;Não-liderança;0;0;0
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;1;Liderança;0;1;0
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;2;Não-liderança;0;2;0
03.378.521/0001-75;2024-12-31;15;148162;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;1;Liderança;0;0;0
03.378.521/0001-75;2024-12-31;15;148162;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;2;Não-liderança;0;0;0
04.089.570/0001-50;2024-12-31;5;147280;ÁGUAS GUARIROBA S.A;1;Liderança;0;0;0
04.089.570/0001-50;2024-12-31;5;147280;ÁGUAS GUARIROBA S.A;2;Não-liderança;0;0;0
04.370.282/0001-70;2024-12-31;11;146295;COPEL GERAÇÃO E TRANSMISSÃO S.A.;1;Liderança;;;
04.370.282/0001-70;2024-12-31;11;146295;COPEL GERAÇÃO E TRANSMISSÃO S.A.;2;Não-liderança;;;
04.423.567/0001-21;2024-12-31;14;148217;ENEVA S.A;1;Liderança;;;
04.423.567/0001-21;2024-12-31;14;148217;ENEVA S.A;2;Não-liderança;;;
04.601.397/0001-28;2024-12-31;10;148231;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;1;Liderança;0;0;0
04.601.397/0001-28;2024-12-31;10;148231;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;2;Não-liderança;0;0;0
06.047.087/0001-39;2024-12-31;10;147426;REDE D'OR SÃO LUIZ S.A.;1;Liderança;0;0;306
06.047.087/0001-39;2024-12-31;10;147426;REDE D'OR SÃO LUIZ S.A.;2;Não-liderança;0;0;71544
06.981.176/0001-58;2024-12-31;14;148062;CEMIG GERACAO E TRANSMISSAO S.A.;1;Liderança;0;0;0
06.981.176/0001-58;2024-12-31;14;148062;CEMIG GERACAO E TRANSMISSAO S.A.;2;Não-liderança;0;0;0
06.981.180/0001-16;2024-12-31;20;148064;CEMIG DISTRIBUICAO S.A.;1;Liderança;0;0;0
06.981.180/0001-16;2024-12-31;20;148064;CEMIG DISTRIBUICAO S.A.;2;Não-liderança;0;0;0
07.237.373/0001-20;2024-12-31;16;148203;BCO NORDESTE DO BRASIL S.A.;1;Liderança;27;2798;0
07.237.373/0001-20;2024-12-31;16;148203;BCO NORDESTE DO BRASIL S.A.;2;Não-liderança;43;3811;0
07.718.269/0001-57;2024-12-31;2;147602;SPRINGS GLOBAL PARTICIPACOES S.A.;1;Liderança;0;0;0
