CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681790;Preferencial Classe B;2129640;0.761000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681798;Preferencial Classe B;18262671;6.524000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681802;Preferencial Classe B;18691102;6.677000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681806;Preferencial Classe B;1251716;0.447000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681810;Preferencial Classe B;204959;0.073000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681822;Preferencial Classe B;21198342;7.572000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681826;Preferencial Classe B;7908453;2.825000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681830;Preferencial Classe B;59300;0.021000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681834;Preferencial Classe B;29772076;10.635000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681838;Preferencial Classe B;493;0.000000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681838;Preferencial Classe C;1;100.000000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681842;Preferencial Classe A;2000;1.361000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681842;Preferencial Classe B;360000;0.129000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681846;Preferencial Classe A;55585;37.834000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681847;Preferencial Classe A;4361;2.968000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681847;Preferencial Classe B;6837800;2.443000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681848;Preferencial Classe A;84974;57.837000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681848;Preferencial Classe B;173264841;61.893000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681849;Preferencial Classe B;279941393;100.000000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681849;Preferencial Classe C;1;100.000000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7681849;Preferencial Classe A;146920;100.000000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7661844;Preferencial Classe B;24296600;82.094000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7661849;Preferencial Classe B;5299415;17.906000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7661849;Preferencial Classe A;6565010;100.000000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7661850;Preferencial Classe B;29596015;100.000000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7661850;Preferencial Classe A;6565010;100.000000
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;7626006;Ordinária Classe A;203343;100.000000
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;7626037;Ordinária Classe A;203343;100.000000
