CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.00;4.25;71256.40;48188.52;66740.09;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;32.67;32.67;1250448.03;931191.97;1015827.23;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;75791.11;71263.41;72240.84;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;30.75;30.75;1598364.31;1256005.44;1141614.29;Para o exercício 2023, o valor médio apurado é a razão de R$ 48.518.607,45 por 42,50.Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;4.00;4.00;76660.44;76660.44;78728.39;Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;1.25;71813.04;71813.04;52184.14;Conselho de Administração: para o exercício de 2022, o valor médio apurado é a razão de R$ 65.230,18 por 1,25 para o exercício de 2021 e o valor médio apurado é a razão de R$ 306.548,08 por 4,25 e para o exercício de 2020, o valor médio apurado é a razão de R$ 283.645,38 por 4,25.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;31.83;31.83;1485065.06;1038588.13;1130563.96;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.Diretoria Executiva: para o exercício de 2022, o valor médio apurado para a é a razão de R$ 43.997.780,67 por 38,92 para o exercício de 2021, o valor médio apurado para a é a razão de R$ 53.939.042,17 por 42,42 e para o exercício de 2020, o valor médio apurado para a é a razão de R$ 42.918.700,60 por 42,25.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;71813.04;71813.04;71804.87;(2) Conselho Fiscal: para o exercício de 2022, o valor médio apurado é a razão de R$ 371.231,20 por 5,17 para o exercício de 2021, o valor médio apurado é a razão de R$ 352.748,43 por 4,75 e para o exercício de 2020, o valor médio apurado é a razão de R$ 366.983,48 por 5,08.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.83;4.33;52836.46;14133.21;78033.97;Em relação ao exercício social encerrado em 31 de dezembro de 2023, para os membros do Conselho Fiscal e da Diretoria Executiva, os respectivos membrosexerceram suas funções por 12 meses no Conselho de Administração, os respectivos membros exerceram suas funções por 9 meses.
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;4.92;114609.69;113991.68;116473.26;Valor médio da remuneração calculado considerando pagamento de verbas rescisórias
