CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Estados Unidos;2009-12-02
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Espanha;2000-04-18
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Estados Unidos;2008-10-30
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Brasil;2018-04-18
00.776.574/0001-56;2020-01-01;1;93607;B2W - COMPANHIA DIGITAL;Estados Unidos;2007-03-31
01.545.826/0001-07;2020-01-01;1;91350;GAFISA S.A.;Estados Unidos;2007-03-16
01.838.723/0001-27;2020-01-01;1;95241;BRF S.A.;Estados Unidos;2000-10-20
02.201.787/0001-85;2020-01-01;1;91724;CEL PARTICIPAÇÕES S.A. - CELPAR;Brasil;1997-12-02
02.429.144/0001-93;2020-01-01;1;93365;CPFL ENERGIA S.A.;Estados Unidos;2004-09-29
02.474.103/0001-19;2020-01-01;3;92624;ENGIE BRASIL ENERGIA S.A.;Estados Unidos;1998-06-01
02.558.115/0001-21;2020-01-01;1;94241;TIM PARTICIPACOES S.A.;Estados Unidos;1998-12-16
02.558.157/0001-62;2020-01-01;2;98889;TELEFÔNICA BRASIL S.A;Estados Unidos;1998-09-22
02.762.121/0001-04;2020-01-01;1;96408;SANTOS BRASIL PARTICIPACOES S.A.;Estados Unidos;2007-12-05
02.932.074/0001-91;2020-01-01;1;93778;HYPERA S.A.;Estados Unidos;2010-05-26
02.998.301/0001-81;2020-01-01;2;99273;RIO PARANAPANEMA ENERGIA S.A.;Estados Unidos;1999-09-24
02.998.611/0001-04;2020-01-01;2;94172;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Estados Unidos;1999-09-24
03.025.305/0001-46;2020-01-01;1;91789;RODOVIAS DAS COLINAS S.A.;Brasil;2013-04-25
03.220.438/0001-73;2020-01-01;1;95500;EQUATORIAL ENERGIA S.A.;Estados Unidos;2008-12-19
03.378.521/0001-75;2020-01-01;3;99300;LIGHT S.A.;Estados Unidos;2008-10-25
03.847.461/0001-92;2020-01-01;1;91027;BRADESPAR S.A.;;2001-05-21
03.847.461/0001-92;2020-01-01;1;91027;BRADESPAR S.A.;Espanha;2001-07-10
03.853.896/0001-40;2020-01-01;1;91762;MARFRIG GLOBAL FOODS S.A.;Brasil;2007-06-16
04.423.567/0001-21;2020-01-01;2;94907;ENEVA S.A;Estados Unidos;2009-05-08
04.902.979/0001-44;2020-01-01;3;97998;BCO AMAZONIA S.A.;Brasil;1977-07-20
04.912.242/0001-02;2020-01-01;1;91614;PORTUENSE FERRAGENS S/A;Brasil;2001-03-31
04.986.188/0001-40;2020-01-01;1;90460;AGROINDUSTRIAL VERA CRUZ S.A.;Brasil;1990-10-04
04.992.714/0001-84;2020-01-01;2;98122;Nova Transportadora do Sudeste S.A. - NTS;Não aplicável;2002-01-15
05.495.546/0001-84;2020-01-01;4;99329;Litela Participações S.A.;Brasil;2019-09-05
05.721.735/0001-28;2020-01-01;1;91461;WILSON SONS LTD.;Luxemburgo;2007-04-30
05.799.312/0001-20;2020-01-01;2;96512;TERRA SANTA AGRO S.A.;Estados Unidos;2006-11-09
06.164.253/0001-87;2020-01-01;2;95505;GOL LINHAS AEREAS INTELIGENTES S.A.;Estados Unidos;2004-06-09
06.948.969/0001-75;2020-01-01;2;95845;LINX S.A.;Estados Unidos;2019-06-26
06.977.745/0001-91;2020-01-01;1;91499;BR MALLS PARTICIPACOES S.A.;Estados Unidos;2007-04-03
07.526.557/0001-00;2020-01-01;3;97971;AMBEV S.A.;Estados Unidos;2013-11-11
07.628.528/0001-59;2020-01-01;1;95008;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Estados Unidos;2012-11-08
07.689.002/0001-89;2020-01-01;3;93811;EMBRAER S.A.;Estados Unidos;2006-05-23
07.820.907/0001-46;2020-01-01;1;92725;CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;Estados Unidos;2009-02-05
07.857.093/0001-14;2020-01-01;4;94220;AURA MINERALS INC.;Canadá;2006-07-25
07.857.850/0001-50;2020-01-01;2;103928;GP INVESTMENTS, LTD.;Luxemburgo;2006-05-30
07.950.674/0001-04;2020-01-01;1;95897;CCX CARVÃO DA COLÔMBIA S.A.;Brasil;2006-07-19
08.070.508/0001-78;2020-01-01;2;99146;RAIZEN ENERGIA S.A.;Brasil;2013-10-21
08.078.847/0001-09;2020-01-01;2;96800;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Brasil;2006-12-18
08.801.621/0001-86;2020-01-01;1;96421;CYRELA COMMERCIAL PROPERT S.A. EMPR PART;Estados Unidos;2007-08-10
08.807.432/0001-10;2020-01-01;4;103451;YDUQS PARTICIPACOES S.A.;Estados Unidos;2014-11-17
08.873.873/0001-10;2020-01-01;1;93038;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Brasil;2009-12-22
08.926.302/0001-05;2020-01-01;1;94897;DOMMO ENERGIA S.A.;Brasil;2014-09-17
09.305.994/0001-29;2020-01-01;1;93637;AZUL S.A.;Estados Unidos;2016-04-07
10.345.009/0001-98;2020-01-01;1;95480;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;Estados Unidos;2017-02-21
10.488.244/0001-19;2020-01-01;2;99886;INFRASEC SECURITIZADORA S.A.;Brasil;2009-09-22
12.827.269/0001-25;2020-01-01;1;95569;HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A;Brasil;2018-04-11
15.073.274/0001-88;2020-01-01;4;103616;PPLA PARTICIPATIONS LTD.;Holanda;2012-04-26
15.144.017/0001-90;2020-01-01;3;99952;CIA SEGUROS ALIANCA DA BAHIA;Brasil;1977-07-20
16.404.287/0001-55;2020-01-01;2;93899;SUZANO S.A.;Estados Unidos;1993-10-01
17.155.730/0001-64;2020-01-01;1;91924;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Espanha;2002-07-11
17.155.730/0001-64;2020-01-01;1;91924;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Estados Unidos;2001-09-18
17.344.597/0001-94;2020-01-01;5;99104;BB SEGURIDADE PARTICIPAÇÕES S.A.;Estados Unidos;2014-03-28
19.688.956/0001-56;2020-01-01;1;93889;BIOTOSCANA INVESTMENTS S.A.;Luxemburgo;2017-07-21
26.609.050/0001-64;2020-01-01;1;95299;TRAVESSIA SECURITIZADORA S/A;Brasil;2017-02-09
27.093.558/0001-15;2020-01-01;2;99280;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Brasil;2010-04-14
30.306.294/0001-45;2020-01-01;3;102871;BCO BTG PACTUAL S.A.;Brasil;2011-11-10
30.545.324/0001-76;2020-01-01;2;97909;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-RECARGAPA;Brasil;2020-07-20
32.785.497/0001-97;2020-01-01;1;92996;Natura &Co Holding S.A.;Estados Unidos;2020-01-01
33.000.167/0001-01;2020-01-01;1;94263;PETROLEO BRASILEIRO S.A. PETROBRAS;Espanha;2002-07-09
33.000.167/0001-01;2020-01-01;1;94263;PETROLEO BRASILEIRO S.A. PETROBRAS;EUA;2000-08-10
