CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;BANCO DO BRASIL S.A.;00.000.000/0001-91;Endereço da Sede;Rua Lélio Gama, 105;37º andar;Centro;Rio de Janeiro;RJ;Brasil;20031080;;021;38082811;;021;38083466;disem.custodia.atende@bb.com.br;1900-10-12;
00.000.208/0001-00;2021-01-01;6;110644;BRB BCO DE BRASILIA S.A.;BRB-DTVM Distribuidora de Títulos e Valores Mobiliários S.A.;33.850.686/0001-69;Endereço da Sede;Q SAUN QUADRA 5 BLOCO C TORRE III;Sala 201;Asa Norte;Brasília;DF;Brasil;70040250;;61;34092030;;;;ri@brb.com.br;1993-09-24;
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36849441;;011;36842811;dac.acecustodia@bradesco.com.br;2011-10-01;
00.070.698/0001-11;2021-01-01;3;107377;CIA ENERGETICA DE BRASILIA;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, S/N, Prédio Amarelo;2° Andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36842852;;011;36842852;4010.tomo@bradesco.com.br;2016-02-01;
00.185.475/0001-08;2021-01-01;2;109116;PARCOM PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.192.769/0001-59;2021-01-01;1;99779;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Itau Unibanco S/A;60.701.190/0001-04;Endereço da Sede;PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA;100;TORRE OLAVO SETUBAL;São Paulo;SP;Brasil;04344902;;011;50191133;;011;50191144;relaçoes.investidores@itausa.com.br;1999-09-16;
00.194.724/0001-13;2021-01-01;5;113334;AES Brasil Operações S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Agência Especializada Acionistas - Rua Boa Vista, 176;1 subsolo;Centro;São Paulo;SP;Brasil;01014000;;11;30039285;;11;30039285;escrituracaoacoes@itau-unibanco.com.br;2021-08-02;
00.242.184/0001-04;2021-01-01;3;107311;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;;;11;;escrituracaoacoes@itau-unibanco.com.br;2020-10-20;
00.249.786/0001-85;2021-01-01;2;109114;FORPART S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus;s/n;Vila Yara;;SP;Brasil;;;;;;;;;2016-06-01;
