CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;www.valor.com.br/valor-ri/fatos-relevantes;BR
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Brasil Econômico;RJ
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Jornal de Brasília;DF
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Portal de Notícias NEO1 (http://www.portalneo1.net);SP
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Valor Econômico;SP
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Valor Econômico;SP
00.070.698/0001-11;2022-01-01;6;120830;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Correio Braziliense;DF
00.080.671/0001-00;2022-01-01;1;116615;CARAMURU ALIMENTOS S.A.;Jornal Plural Notícias;GO
00.185.475/0001-08;2022-01-01;1;111829;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.185.475/0001-08;2022-01-01;1;111829;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário Oficial;RJ
00.192.769/0001-59;2022-01-01;2;115549;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diário Oficial de Santa Catarina;SC
00.192.769/0001-59;2022-01-01;2;115549;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jornal de Santa Catarina (Blumenau);SC
00.194.724/0001-13;2022-01-01;1;116190;AES Brasil Operações S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
00.194.724/0001-13;2022-01-01;1;116190;AES Brasil Operações S.A.;Valor Econômico;SP
00.242.184/0001-04;2022-01-01;2;116200;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diário Oficial do Estado de São Paulo;SP
00.242.184/0001-04;2022-01-01;2;116200;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;O Dia;SP
00.249.786/0001-85;2022-01-01;1;111826;FORPART S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.249.786/0001-85;2022-01-01;1;111826;FORPART S.A. - EM LIQUIDAÇÃO;Diário Oficial;RJ
00.272.185/0001-93;2022-01-01;1;116275;CIMS S.A.;Diário Oficial;RJ
00.272.185/0001-93;2022-01-01;1;116275;CIMS S.A.;Monitor Mercantil;RJ
00.336.701/0001-04;2022-01-01;1;114019;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.336.701/0001-04;2022-01-01;1;114019;TELEC BRASILEIRAS S.A. TELEBRAS;https://jornaldebrasilia.com.br;DF
00.359.742/0001-08;2022-01-01;2;113890;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diário de Sorocaba;SP
00.359.742/0001-08;2022-01-01;2;113890;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;DIÁRIO OFICIAL DO ESTADO DE SP;SP
00.359.742/0001-08;2022-01-01;2;113890;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Valor Econômico;SP
00.383.281/0001-09;2022-01-01;1;111687;BNDES PARTICIPACOES S.A. - BNDESPAR;Diário Oficial da União;DF
00.383.281/0001-09;2022-01-01;1;111687;BNDES PARTICIPACOES S.A. - BNDESPAR;O Estado de São Paulo;SP
00.389.481/0001-79;2022-01-01;2;120551;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - digital;BA
00.389.481/0001-79;2022-01-01;2;120551;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia - Impresso;BA
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Jornal do Estado de Minas;MG
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Portal online - Neo1 - http://www.portalneo1.net/;BR
00.545.378/0001-70;2022-01-01;2;128996;SERRA AZUL WATER PARK SA;Diário Comércio & Indústria;SP
00.545.378/0001-70;2022-01-01;2;128996;SERRA AZUL WATER PARK SA;Diário Oficial do Estado;SP
00.622.416/0001-41;2022-01-01;1;114731;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Diário Oficial do Estado;SC
00.622.416/0001-41;2022-01-01;1;114731;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Notícias do Dia;SC
00.644.907/0001-93;2022-01-01;1;112919;INVESTCO S.A.;Valor Econômico (Edição Nacional);TO
00.743.065/0001-27;2022-01-01;2;114168;LITEL PARTICIPACOES S.A.;Diário Oficial do Estado;RJ
00.743.065/0001-27;2022-01-01;2;114168;LITEL PARTICIPACOES S.A.;Monitor Mercantil;RJ
00.776.574/0001-56;2022-01-01;2;118812;AMERICANAS S.A.;Valor Econômico;SP
00.864.214/0001-06;2022-01-01;3;120455;ENERGISA S.A.;Diário do Comércio;MG
00.864.214/0001-06;2022-01-01;3;120455;ENERGISA S.A.;https://ri.energisa.com.br/;MG
00.864.214/0001-06;2022-01-01;3;120455;ENERGISA S.A.;https://www.rad.cvm.gov.br/ENET/frmConsultaExternaCVM.aspx;RJ
00.897.864/0001-58;2022-01-01;1;112990;SANTA CATARINA PART INVEST SA;Notícias do Dia;SC
00.924.429/0001-75;2022-01-01;2;117041;FERROVIA CENTRO-ATLANTICA S.A.;Diário do Comércio (Belo Horizonte);MG
00.938.574/0001-05;2022-01-01;3;120777;CONC RIO-TERESOPOLIS S.A.;Valor Econômico (Edição Digital);RJ
00.938.574/0001-05;2022-01-01;3;120777;CONC RIO-TERESOPOLIS S.A.;Valor Econômico (Edição Impressa);RJ
00.974.211/0001-25;2022-01-01;2;114059;Linha Amarela S.A. - LAMSA;Diário Comercial;RJ
00.979.969/0001-56;2022-01-01;1;113660;CAIXA ADM DIV PUB ESTADUAL SA;Jornal do Commercio;RS
01.027.058/0001-91;2022-01-01;3;120706;CIELO S.A. -  Instituição de Pagamento;Valor Econômico;SP
01.083.200/0001-18;2022-01-01;1;112386;NEOENERGIA S.A.;http://ri.neoenergia.com/;RJ
01.083.200/0001-18;2022-01-01;1;112386;NEOENERGIA S.A.;https://valor.globo.com/;RJ
01.083.200/0001-18;2022-01-01;1;112386;NEOENERGIA S.A.;Jornal Valor Econômico Impresso;RJ
01.104.937/0001-70;2022-01-01;2;119706;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Diario Oficial do Estado;RJ
01.104.937/0001-70;2022-01-01;2;119706;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Valor Econômico;RJ
01.107.327/0001-20;2022-01-01;3;120182;BBM Logística S.A.;JORNAL METRÓPOLE;PR
01.107.327/0001-20;2022-01-01;3;120182;BBM Logística S.A.;Portal NEO1;PR
01.258.944/0001-26;2022-01-01;4;119237;Rumo Malha Sul S.A.;Bem Paraná - Curitiba;PR
01.319.044/0001-41;2022-01-01;2;114458;WTC AMAZONAS SUITE HOTEL S.A.;Diario de Notícias de São Paulo;SP
01.319.044/0001-41;2022-01-01;2;114458;WTC AMAZONAS SUITE HOTEL S.A.;Diário Oficial do Estado de São Paulo;SP
01.417.222/0001-77;2022-01-01;2;112846;MRS LOGISTICA S.A.;Diário do Acionista;RJ
01.468.594/0001-22;2022-01-01;1;111683;LG Informática S.A.;Diário Oficial do Estado de Goiás (DOEG);GO
01.468.594/0001-22;2022-01-01;1;111683;LG Informática S.A.;http://www.portalneo1.net/;SP
01.468.594/0001-22;2022-01-01;1;111683;LG Informática S.A.;Jornal "O Hoje";GO
01.543.032/0001-04;2022-01-01;1;113811;CELG DISTRIBUICAO S.A. - CELG D;O Popular;GO
01.545.826/0001-07;2022-01-01;3;120683;GAFISA S.A.;Estado de São Paulo;SP
01.545.826/0001-07;2022-01-01;3;120683;GAFISA S.A.;Valor Econômico (Edição Nacional);SP
