CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Contato;Data_Inicio_Contato;Data_Fim_Contato;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;JANAÍNA MARQUES STORTI;2021-12-06;;;Saun Quadra 05, Lote B, torre sul, 14º andar;Ed. BB;Asa Norte;Brasília;DF;Brasil;70040912;;061;34935602;;061;34935602;dribb@bb.com.br
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Amaro Morais Patricio;2022-08-03;;;ST SAUN Quadra 5 Lote C, Bloco C;Centro Empresarial;Asa Norte;Brasília;DF;Brasil;70040250;;61;34092085;;;;ri@brb.com.br
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Rafael Ortiz Seabra Costa;2021-12-01;2022-07-08;;SAUN Quadra 5 Bloco C 11ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;61;34092083;;61;;ri@brb.com.br
00.070.698/0001-11;2023-01-01;1;125096;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Daniel Guirado dos Reis;2016-02-15;;;SGAN Quadra 601, Bloco H, Salas 2010 à 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;61;37741022;;;;daniel.reis@ceb.com.br
00.080.671/0001-00;2023-01-01;1;128026;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;2021-05-03;;;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;64;34040900;;64;34040210;ri@caramuru.com
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Bruno Stefani Rocha;2022-12-31;;;Av Franz Voegeli;Apto 404A;Parque Continental;Osasco;SP;Brasil;06020190;;48;30949004;;;;dri.ntfc@almeidajunior.com.br
00.194.724/0001-13;2023-01-01;2;128934;AES Brasil Operações S.A.;Lúcia de Luiz Césari;2021-05-13;;;Av. das Nações Unidas, nº 12.495, 12º andar;;Brooklin Paulista;São Paulo;SP;Brasil;04578000;;11;41974925;;;;ri.aesbrasil@aes.com
00.242.184/0001-04;2023-01-01;2;127966;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Gabriel Lopes Ferreira;2023-05-10;;;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;Barueri;SP;Brasil;06460040;;11;40035511;;11;40035511;ri@armac.com.br
00.272.185/0001-93;2023-01-01;1;128458;CIMS S.A.;José Guilherme Cruz Souza;2013-08-21;;;Avenida Bartolomeu Mitre ,nº 336;Parte;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;21;21596000;;21;21596200;jgsouza@vincipartners.com
00.336.701/0001-04;2023-01-01;2;128236;TELEC BRASILEIRAS S.A. TELEBRAS;Leandro Neves de Oliveira Bando;2019-12-16;;;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;061;20271208;;061;20271881;leandro.neves@telebras.com.br
