CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;Caixa_Postal;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;Endereço da Sede;Saun Quadra 05, Lote B;Ed. BB;Asa Norte;Brasília;DF;Brasil;70040912;;;61;34939002;;61;34931177;secex@bb.com.br
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;Endereço para Correspondência;Saun Quadra 05 Lote B Torre Norte - Ed. BB;16° andar;Asa Norte;Brasília;DF;Brasil;70040912;;;61;34939002;;61;34931177;secex@bb.com.br
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Endereço da Sede;SAUN Quadra 5 Bloco C;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.000.208/0001-00;2023-01-01;2;128706;BRB BCO DE BRASILIA S.A.;Endereço para Correspondência;SAUN Quadra 5 Bloco C 13ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092083;;;;ri@brb.com.br
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço da Sede;Rua da Quitanda, 196;Lj A;Centro;Rio de Janeiro;RJ;Brasil;20091005;;;21;25145000;;;;francisco.duarte@eletrobras.com
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço para Correspondência;Rua da Quitanda, 196;9º Andar;Centro;Rio de Janeiro;RJ;Brasil;20091005;;;21;25146337;;;;francisco.duarte@eletrobras.com
00.070.698/0001-11;2023-01-01;1;125096;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Endereço da Sede;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;61;37741001;ri@ceb.com.br
00.070.698/0001-11;2023-01-01;1;125096;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Endereço para Correspondência;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;61;37741001;ri@ceb.com.br
00.080.671/0001-00;2023-01-01;1;128026;CARAMURU ALIMENTOS S.A.;Endereço da Sede;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;64;34040210;ri@caramuru.com.br
00.080.671/0001-00;2023-01-01;1;128026;CARAMURU ALIMENTOS S.A.;Endereço para Correspondência;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;64;34040210;ri@caramuru.com.br
00.185.475/0001-08;2023-01-01;1;123830;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço da Sede;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.185.475/0001-08;2023-01-01;1;123830;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;AV PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;21;38043480;gar@opportunity.com.br
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço da Sede;RUA SETE DE SETEMBRO, 1213;NEUMARKT;CENTRO;Blumenau;SC;Brasil;89010203;;;48;30949004;;48;30949004;dri.ntfc@almeidajunior.com.br
00.192.769/0001-59;2023-01-01;2;127184;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Endereço para Correspondência;BR 101 - KM 211 - 3ª andar Continente Shopping;Continente Shopping;Continente Shopping;São José;SC;Brasil;88104800;;;48;30949004;;48;30949004;dri.ntfc@almeidajunior.com.br
